Place	Player	Country	Score	To par
1	Tom Lehman	United States	67-70-68=205	–5
T2	Ernie Els	South Africa	71-67-69=207	–3
T2	Jeff Maggert	United States	73-66-68=207	–3
4	Colin Montgomerie	Scotland	65-76-67=208	–2
T5	Jay Haas	United States	73-69-68=210	E
T5	David Ogrin	United States	70-69-71=210	E
T5	Tommy Tolles	United States	74-67-69=210	E
T8	Billy Andrade	United States	75-67-69=211	+1
T8	Olin Browne	United States	71-71-69=211	+1
T8	Jim Furyk	United States	74-68-69=211	+1
T8	Scott Hoch	United States	71-68-72=211	+1
