Tie no	Home team	Score	Away team	Date	Attendance
1	Chesterfield	1 – 2	Morecambe	16 November 2002	3,703
2	Bournemouth	2 – 1	Doncaster Rovers	16 November 2002	5,371
3	Barrow	2 – 0	Moor Green	16 November 2002	2,650
4	Bury	0 – 3	Plymouth Argyle	16 November 2002	2,987
5	Rochdale	3 – 2	Peterborough United	16 November 2002	2,566
6	Yeovil Town	0 – 2	Cheltenham Town	16 November 2002	6,455
7	Vauxhall Motors	0 – 0	Queen's Park Rangers	16 November 2002	3,507
Replay	Queen's Park Rangers	1 – 1	Vauxhall Motors	26 November 2002	5,336
Vauxhall Motors won 4 – 3 on penalties	Vauxhall Motors won 4 – 3 on penalties	Vauxhall Motors won 4 – 3 on penalties	Vauxhall Motors won 4 – 3 on penalties	Vauxhall Motors won 4 – 3 on penalties	Vauxhall Motors won 4 – 3 on penalties
8	Northwich Victoria	0 – 3	Scunthorpe United	16 November 2002	1,724
9	Luton Town	4 – 0	Guiseley	16 November 2002	5,248
10	Swindon Town	1 – 0	Huddersfield Town	16 November 2002	4,210
11	Scarborough	0 – 0	Cambridge United	16 November 2002	2,084
Replay	Cambridge United	2 – 1	Scarborough	26 November 2002	3,373
12	Shrewsbury Town	4 – 0	Stafford Rangers	16 November 2002	5,114
13	Wrexham	0 – 2	Darlington	16 November 2002	3,442
14	Tranmere Rovers	2 – 2	Cardiff City	16 November 2002	5,592
Replay	Cardiff City	2 – 1	Tranmere Rovers	26 November 2002	6,853
15	Stockport County	4 – 1	St Albans City	16 November 2002	3,303
16	Wycombe Wanderers	2 – 4	Brentford	16 November 2002	5,673
17	Kidderminster Harriers	2 – 2	Rushden & Diamonds	16 November 2002	3,079
Replay	Rushden & Diamonds	2 – 1	Kidderminster Harriers	26 November 2002	3,391
18	Barnsley	1 – 4	Blackpool	16 November 2002	6,857
19	Bristol Rovers	0 – 0	Runcorn Halton	16 November 2002	4,135
Replay	Runcorn Halton	1 – 3	Bristol Rovers	26 November 2002	2,444
20	Northampton Town	3 – 2	Boston United	16 November 2002	4,373
21	Hull City	0 – 3	Macclesfield Town	16 November 2002	7,803
22	Carlisle United	2 – 1	Lincoln City	16 November 2002	4,388
23	Oldham Athletic	2 – 2	Burton Albion	16 November 2002	5,802
Replay	Burton Albion	2 – 2	Oldham Athletic	27 November 2002	3,416
Oldham Athletic won 5 – 4 on penalties	Oldham Athletic won 5 – 4 on penalties	Oldham Athletic won 5 – 4 on penalties	Oldham Athletic won 5 – 4 on penalties	Oldham Athletic won 5 – 4 on penalties	Oldham Athletic won 5 – 4 on penalties
24	Southend United	1 – 1	Hartlepool United	16 November 2002	4,984
Replay	Hartlepool United	1 – 2	Southend United	26 November 2002	4,080
25	Port Vale	0 – 1	Crewe Alexandra	16 November 2002	5,507
26	Southport	4 – 2	Notts County	16 November 2002	3,519
27	Torquay United	5 – 0	Boreham Wood	16 November 2002	2,739
28	York City	2 – 1	Swansea City	26 November 2002	2,948
29	Hereford United	0 – 1	Wigan Athletic	16 November 2002	4,005
30	Tiverton Town	1 – 1	Crawley Town	16 November 2002	1,840
Replay	Crawley Town	3 – 2	Tiverton Town	26 November 2002	3,907
31	Colchester United	0 – 1	Chester City	16 November 2002	2,901
32	Leyton Orient	1 – 1	Margate	16 November 2002	3,605
Replay	Margate	1 – 0	Leyton Orient	26 November 2002	2,048
33	Slough Town	1 – 2	Harrogate Railway Athletic	16 November 2002	1,687
34	Farnborough Town	5 – 1	Harrogate Town	16 November 2002	1,090
35	Forest Green Rovers	0 – 0	Exeter City	17 November 2002	2,147
Replay	Exeter City	2 – 1	Forest Green Rovers	26 November 2002	2,951
36	Heybridge Swifts	0 – 7	Bristol City	16 November 2002	2,046
37	Stevenage Borough	1 – 0	Hastings United	16 November 2002	1,821
38	Dover Athletic	0 – 1	Oxford United	16 November 2002	4,186
39	Dagenham & Redbridge	3 – 2	Havant & Waterlooville	16 November 2002	1,546
40	Team Bath	2 – 4	Mansfield Town	16 November 2002	5,469
