Week	Date	Opponent	Result	Attendance
1	September 6, 1981	at New York Giants	W 24–10	72,459
2	September 13, 1981	New England Patriots	W 13–3	71,089
3	September 17, 1981	at Buffalo Bills	W 20–14	78,331
4	September 27, 1981	Washington Redskins	W 36–13	70,664
5	October 5, 1981	Atlanta Falcons	W 16–13	71,488
6	October 11, 1981	at New Orleans Saints	W 31–14	52,728
7	October 18, 1981	at Minnesota Vikings	L 35–23	45,459
8	October 25, 1981	Tampa Bay Buccaneers	W 20–10	70,714
9	November 1, 1981	Dallas Cowboys	L 17–14	72,111
10	November 8, 1981	at St. Louis Cardinals	W 52–10	48,421
11	November 15, 1981	Baltimore Colts	W 38–13	68,618
12	November 22, 1981	New York Giants	L 20–10	66,827
13	November 30, 1981	at Miami Dolphins	L 13–10	67,797
14	December 6, 1981	at Washington Redskins	L 15–13	52,206
15	December 13, 1981	at Dallas Cowboys	L 21–10	64,955
16	December 20, 1981	St. Louis Cardinals	W 38–0	56,656
