Week	Date	Opponent	Time ( ET )	Game site	Result	Record
1	Sun. Sep. 7	Baltimore Ravens	1:00pm	Heinz Field	W 34–15	1-0
2	Sun. Sep. 14	at Kansas City Chiefs	1:00pm	Arrowhead Stadium	L 41–20	1-1
3	Sun. Sep. 21	at Cincinnati Bengals	1:00pm	Paul Brown Stadium	W 17–10	2-1
4	Sun. Sep. 28	Tennessee Titans	1:00pm	Heinz Field	L 30–13	2-2
5	Sun. Oct. 5	Cleveland Browns	8:30pm	Heinz Field	L 33–13	2-3
6	Sun. Oct. 12	at Denver Broncos	4:15pm	Invesco Field at Mile High	L 17–14	2-4
7	Sun. Oct. 19	Bye	Bye	Bye	Bye	Bye
8	Sun. Oct. 26	St. Louis Rams	1:00pm	Heinz Field	L 33–21	2-5
9	Sun. Nov. 2	at Seattle Seahawks	4:05pm	Seahawks Stadium	L 23–16	2-6
10	Sun. Nov. 9	Arizona Cardinals	1:00pm	Heinz Field	W 28–15	3-6
11	Mon. Nov. 17	at San Francisco 49ers	9:00pm	San Francisco Stadium	L 30–14	3-7
12	Sun. Nov. 23	at Cleveland Browns	1:00pm	Cleveland Browns Stadium	W 13–6	4-7
13	Sun. Nov. 30	Cincinnati Bengals	1:00pm	Heinz Field	L 24–20	4-8
14	Sun. Dec. 7	Oakland Raiders	1:00pm	Heinz Field	W 27–7	5-8
15	Sun. Dec. 14	at New York Jets	1:00pm	Giants Stadium	L 6–0	5-9
16	Sun. Dec. 21	San Diego Chargers	4:05pm	Heinz Field	W 40–24	6-9
17	Sun. Dec. 28	at Baltimore Ravens	8:30pm	M&T Bank Stadium	L 13–10 OT	6-10
