Season	Winner	Result	Runner-up	1st of Regular Season	Record	Champion's Coach	Finals MVP
1990–91	Tallinna Asto	2–0	Baltika	Baltika	18–4	Jaanus Levkoi	N/A
1991–92	Tallinna BC Kalev *	2–0	Tallinna Asto	Tallinna Asto	28–1	Jaanus Levkoi	N/A
1992–93	Tallinna Rafter-Kalev *	2–0	Tallinna Asto	Tallinna Rafter-Kalev	36–0	Riho Soonik	N/A
1993–94	Tallinna Asto-Basket	2–1	Baltika	Tallinna Asto-Basket	25–3	Jaanus Levkoi	N/A
1994–95	Tallinna BC Kalev/AUMa	3–1	BC Tallinn	Tallinna BC Kalev/AUMa	28–0	Jaak Salumets	N/A
1995–96	Tallinna BC Kalev *	3–0	KK Tartu	Tallinna BC Kalev	36–0	Jaak Salumets	N/A
1996–97	BC Tallinn	3–1	Baltika	BC Tallinn	20–5	Üllar Kerde	N/A
1997–98	Tallinna BC Kalev	3–1	BC Tallinn	Tallinna BC Kalev	22–3	Maarten Van Gent	N/A
1998–99	BC Tallinn *	3–0	Nybit	BC Tallinn	21–4	Üllar Kerde	N/A
1999–00	Tartu Ülikool-Delta *	3–0	Tallinna Kalev	Tallinna Kalev	27–3	Teet Laur	Tanel Tein
2000–01	Tartu Ülikool-Delta *	3–0	Tallinna Ülikoolid-A. Le Coq	Tartu Ülikool-Delta	28–7	Jüri Neissaar	Tanel Tein
2001–02	Tallinna Kalev *	3–2	Tartu Ülikool/Rock	Tartu Ülikool/Rock	23–7	Üllar Kerde	N/A
2002–03	Tallinna Kalev	4–2	TTÜ/A. Le Coq	TTÜ/A. Le Coq	25–7	Andres Sõber	N/A
2003–04	Tartu Ülikool/Rock	4–2	EBS/Nybit	Tartu Ülikool/Rock	18–6	Tõnu Lust	Rauno Pehka
2004–05	Ehitustööriist	4–3	Tartu Ülikool/Rock *	Tartu Ülikool/Rock	12–4	Allan Dorbek	N/A
2005–06	BC Kalev/Cramo *	4–3	Tartu Ülikool/Rock	BC Kalev/Cramo	21–3	Aivar Kuusmaa	James Williams
2006–07	Tartu Ülikool/Rock	4–2	BC Kalev/Cramo *	Tartu Ülikool/Rock	33–3	Algirdas Brazys	Tanel Tein
2007–08	Tartu Ülikool/Rock	4–0	BC Kalev/Cramo *	Tartu Ülikool/Rock	33–3	Üllar Kerde	Brian Cusworth
2008–09	BC Kalev/Cramo *	4–2	Tartu Ülikool/Rock	Tartu Ülikool/Rock	26–2	Nenad Vučinić	Kristjan Kangur
2009–10	Tartu Ülikool/Rock *	4–2	BC Rakvere Tarvas	Tartu Ülikool/Rock	23–5	Indrek Visnapuu	Janar Talts
2010–11	BC Kalev/Cramo	4–0	Tartu Ülikool/Rock *	BC Kalev/Cramo	29–3	Aivar Kuusmaa	Armands Šķēle
2011–12	BC Kalev/Cramo	4–0	Tartu Ülikool *	Tartu Ülikool	25–3	Aivar Kuusmaa	Tanel Sokk
2012–13	BC Kalev/Cramo	4–0	Tartu Ülikool/Rock	BC Kalev/Cramo	28–4	Alar Varrak	Tanel Sokk
