Game	November	Opponent	Score	Record
14	3	Vancouver Canucks	6 - 3	8-5-1
15	6	@ Quebec Nordiques	4 - 2	9-5-1
16	8	Tampa Bay Lightning	6 - 3	10-5-1
17	10	Winnipeg Jets	2 - 1	11-5-1
18	13	@ Washington Capitals	2 - 0	12-5-1
19	14	San Jose Sharks	3 - 3 OT	12-5-2
20	16	@ Florida Panthers	4 - 2	13-5-2
21	19	@ Tampa Bay Lightning	5 - 3	14-5-2
22	23	Montreal Canadiens	5 - 4	15-5-2
23	24	@ Ottawa Senators	7 - 1	16-5-2
24	27	@ New York Islanders	6 - 4	16-6-2
25	28	Washington Capitals	3 - 1	17-6-2
26	30	@ New Jersey Devils	3 - 1	18-6-2
