Athlete	Country	Run 1	Run 2	Run 3	Run 4	Total
Kaillie Humphries Jennifer Ciochetti	Canada	57.10	57.07	57.22	57.18	3:48.57
Sandra Kiriasis Petra Lammert	Germany	57.30	57.28	57.21	57.11	3:48.90
Elana Meyers Katie Eberling	United States	57.22	57.45	57.41	57.49	3:49.57
Cathleen Martini Janine Tischer	Germany	57.37	57.53	57.45	57.47	3:49.95
Helen Upperton Shelley-Ann Brown	Canada	57.58	57.35	57.57	57.45	3:49.95
Fabienne Meyer Hanne Schenk	Switzerland	57.44	57.59	57.56	57.67	3:50.26
Paula Walker Gillian Cooke	Great Britain	57.54	57.65	57.64	57.77	3:50.60
Anja Schneiderheinze Lisette Thöne	Germany	57.74	57.51	57.90	57.75	3:50.87
Christina Hengster Inga Versen	Austria	57.77	57.79	57.90	57.68	3:51.14
Jazmine Fenlator Ingrid Marcum	United States	57.81	57.52	57.90	58.05	3:51.28
Olga Fyodorova Margarita Ismailova	Russia	57.83	57.79	58.08	57.93	3:51.57
Bree Schaaf Emily Azevedo	United States	57.95	57.69	58.04	58.12	3:51.84
Anastasia Tambovtseva Liudmila Udobkina	Russia	57.87	57.82	58.04	58.19	3:51.92
Viktoria Tokovaya Aleksandra Pahmutova	Russia	58.59	58.17	58.24	58.28	3:53.28
Astrid Radjenovic Ebony Gorincu	Australia	58.64	58.54	58.55	58.64	3:54.37
Elfje Willemsen Wendy Van Leuven	Belgium	58.60	58.31	58.54	59.05	3:54.50
Eva Willemarck An Vannieuwenhuyse	Belgium	59.41	59.22	59.63	59.38	3:57.64
