Date	Opponent	Score	Loss	Record
May 1	Indians	2–1	Lemanczyk (1–3)	9–8
May 2	Indians	6–1	Stieb (3–1)	9–9
May 3	Indians	8–3	Waits (1–3)	10–9
May 4	Indians	9–8 (10)	Monge (0–1)	11–9
May 4	Indians	7–2	Owchinko (0–3)	12–9
May 6	@ Angels	3–2	Aase (3–2)	13–9
May 7	@ Angels	7–3	Knapp (0–2)	14–9
May 8	@ Angels	9–2	Frost (3–3)	15–9
May 9	@ Athletics	Postponed (rain) Rescheduled for July 22	Postponed (rain) Rescheduled for July 22	Postponed (rain) Rescheduled for July 22
May 10	@ Athletics	4–3	Garvin (0–2)	15–10
May 11	@ Athletics	12–1	Lemanczyk (2–4)	15–11
May 13	Mariners	Postponed (rain) Rescheduled for July 26	Postponed (rain) Rescheduled for July 26	Postponed (rain) Rescheduled for July 26
May 14	Mariners	7–0	Mirabella (3–2)	15–12
May 15	Mariners	1–0	Bannister (2–3)	16–12
May 16	Athletics	1–0 (11)	Norris (5–1)	17–12
May 17	Athletics	4–2 (14)	McLaughlin (1–2)	17–13
May 18	Athletics	12–1	Langford (3–2)	18–13
May 19	Red Sox	7–2	Billingham (1–1)	19–13
May 20	Red Sox	4–3	Lemanczyk (2–5)	19–14
May 21	Red Sox	11–2	Jefferson (2–2)	19–15
May 22	Yankees	5–1	Stieb (4–2)	19–16
May 23	Yankees	7–3	Mirabella (4–3)	19–17
May 24	Yankees	6–2	Clancy (3–2)	19–18
May 25	Yankees	9–6	John (7–2)	20–18
May 26	@ Red Sox	3–1	Drago (2–2)	21–18
May 27	@ Red Sox	5–4	Buskey (2–1)	21–19
May 28	@ Red Sox	4–1	Stanley (3–5)	22–19
May 30	@ Yankees	6–0	Clancy (3–3)	22–20
May 31	@ Yankees	8–6 (11)	McLaughlin (1–3)	22–21
