Game	Date	Team	Score	High points	High rebounds	Location Attendance	Record
3	November 1	@ Atlanta	L 88–95 (OT)	Thaddeus Young (22)	Elton Brand (16)	Philips Arena 19,651	1–2
4	November 3	Sacramento	W 125–91 (OT)	Thaddeus Young (18)	Samuel Dalembert (6)	Wachovia Center 10,100	2–2
5	November 5	@ Miami	L 83–106 (OT)	Thaddeus Young (19)	Elton Brand (12)	American Airlines Arena 15,103	2–3
6	November 6	@ Orlando	L 88–98 (OT)	Thaddeus Young (19)	Samuel Dalembert (14)	Amway Arena 16,407	2–4
7	November 11	Utah	L 80–93 (OT)	Andre Miller (25)	Thaddeus Young , Samuel Dalembert (11)	Wachovia Center 12,839	2–5
8	November 12	@ Toronto	W 106–96 (OT)	Elton Brand (25)	Andre Iguodala (9)	Air Canada Centre 18,093	3–5
9	November 14	@ Indiana	W 94–92 (OT)	Thaddeus Young (25)	Elton Brand (15)	Conseco Fieldhouse 12,742	4–5
10	November 15	Oklahoma City	W 110–85 (OT)	Thaddeus Young (23)	Samuel Dalembert (16)	Wachovia Center 13,385	5–5
11	November 19	@ Minnesota	L 96–102 (OT)	Andre Miller (20)	Elton Brand (13)	Target Center 10,111	5–6
12	November 21	L.A. Clippers	W 89–88 (OT)	Elton Brand , Thaddeus Young (17)	Elton Brand , Samuel Dalembert (8)	Wachovia Center 13,474	6–6
13	November 23	Golden State	W 89–81 (OT)	Elton Brand (23)	Samuel Dalembert (16)	Wachovia Center 13,556	7–6
14	November 24	@ Charlotte	L 84–93 (OT)	Elton Brand (18)	Elton Brand (9)	Time Warner Cable Arena 10,848	7–7
15	November 26	Orlando	L 94–96 (OT)	Elton Brand (21)	Samuel Dalembert (7)	Wachovia Center 14,985	7–8
16	November 28	@ Boston	L 78–102 (OT)	Elton Brand (18)	Elton Brand (8)	TD Banknorth Garden 18,624	7–9
17	November 30	Chicago	L 92–103 (OT)	Elton Brand (21)	Elton Brand (12)	Wachovia Center 13,561	7–10
