Date	Opponent	Score	Loss	Attendance	Record
April 6	@ Pirates	2–0	Martínez (0–1)	48,800	0–1
April 8	@ Pirates	4–2	Gardner (0–1)	7,075	0–2
April 9	@ Pirates	8–3	Walk (0–1)	10,342	1–2
April 10	@ Mets	4–0	Gooden (0–1)	47,218	2–2
April 11	@ Mets	9–2	Cone (0–1)	22,967	3–2
April 12	@ Mets	8–2	Saberhagen (0–2)	21,636	4–2
April 13	Cardinals	3–2	Cormier (0–1)	40,907	5–2
April 14	Cardinals	3–1	Nabholz (1–1)	12,874	5–3
April 15	Cardinals	4–2	Hill (1–1)	10,095	5–4
April 17	Mets	10–2	Martínez (1–2)	22,406	5–5
April 18	Mets	8–6	Innis (1–1)	14,847	6–5
April 19	Mets	11–6	Fassero (0–1)	13,739	6–6
April 20	Pirates	11–1	Hill (1–2)	12,351	6–7
April 21	Pirates	8–7	C. Haney (1–1)	7,013	6–8
April 22	Pirates	2–0	Martínez (1–3)	8,421	6–9
April 23	Pirates	6–3	Smith (3–1)	5,806	7–9
April 24	@ Cardinals	4–3	Wetteland (0–1)	23,187	7–10
April 25	@ Cardinals	2 – 1 (17)	Rojas (0–1)	24,849	7–11
April 26	@ Cardinals	6–0	Cormier (0–3)	25,622	8–11
April 27	@ Giants	2–1	Martínez (1–4)	8,044	8–12
April 28	@ Giants	2 – 1 (10)	Sampen (0–1)	8,144	8–13
April 29	@ Padres	7–2	Nabholz (1–2)	9,704	8–14
April 30	@ Padres	9–3	Benes (2–2)	31,139	9–14
