Round	Pick	Player	Position	School
1	9	Rick Bryan	Defensive End	Oklahoma
2	32	Scott Case	Defensive Back	Oklahoma
2	36	Thomas Benson	Linebacker	Oklahoma
3	63	Rod McSwain	Defensive Back	Clemson
4	94	Rydell Malancon	Linebacker	Louisiana State
5	132	Cliff Benson	Tight End	Purdue
6	148	Ben Bennett	Quarterback	Duke
6	163	Dan Ralph	Defensive Tackle	Oregon
7	175	Kirk Dodge	Linebacker	University of Nevada-Las Vegas
8	206	Jeff Jackson	Linebacker	Auburn
9	233	Glen Howe	Tackle	Southern Mississippi
10	260	Derrick Franklin	Defensive Back	Fresno State
11	287	Tommy Norman	Wide Receiver	Jackson State
12	318	Don Holmes	Wide Receiver	Mesa
