Season	Date	Winner	Score [C ]	Venue	Competition round [D ]
1928	23 September 1928	Universitario	1–0	Stadium Nacional	Torneo Amateur Lima Liguilla
1928	21 October 1928	Draw	1–1	Stadium Nacional	Torneo Amateur Lima play-off
1928	1 November 1928	Alianza Lima	2–0	Stadium Nacional	Torneo Amateur Lima play-off replay
1930	30 November 1930	Draw	1–1	Stadium Nacional	Torneo Amateur Lima Liguilla
1931	21 June 1931	Alianza Lima	walkover	Stadium Nacional	Torneo Amateur Lima
1932	2 October 1932	Alianza Lima	1–0	Stadium Nacional	Torneo Amateur Lima
1933	27 August 1933	Draw	2–2	Stadium Nacional	Torneo Amateur Lima
1934	18 November 1934	Alianza Lima	2–1	Stadium Nacional	Torneo Amateur Lima
1934	7 July 1935	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima 1934 play-off
1935	27 October 1935	Alianza Lima	walkover	Stadium Nacional	Torneo Amateur Lima
1937	12 September 1937	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima
1938	23 October 1938	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima
1940	12 May 1940	Draw	0–0	Stadium Nacional	Torneo Amateur Lima
1940	24 September 1940	Universitario	2–0	Stadium Nacional	Torneo Amateur Lima
1941	28 September 1941	Draw	0–0	Stadium Nacional	Torneo Amateur Lima
1941	12 April 1942	Universitario	3–1	Stadium Nacional	Torneo Amateur Lima
1942	21 November 1942	Draw	4–4	Stadium Nacional	Torneo Amateur Lima
1943	1 November 1943	Alianza Lima	5–0	Stadium Nacional	Torneo Amateur Lima
1943	14 November 1943	Universitario	1–0	Stadium Nacional	Torneo Amateur Lima
1944	16 July 1944	Universitario	3–1	Stadium Nacional	Torneo Amateur Lima
1944	3 September 1944	Universitario	1–0	Stadium Nacional	Torneo Amateur Lima
1945	16 September 1945	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima
1945	25 November 1945	Universitario	3–1	Stadium Nacional	Torneo Amateur Lima
1946	7 July 1946	Alianza Lima	3–0	Stadium Nacional	Torneo Amateur Lima
1946	25 August 1946	Alianza Lima	2–1	Stadium Nacional	Torneo Amateur Lima
1946	12 October 1946	Draw	0–0	Stadium Nacional	Torneo Amateur Lima
1947	29 June 1947	Alianza Lima	4–3	Stadium Nacional	Torneo Amateur Lima
1947	30 August 1947	Alianza Lima	4–0	Stadium Nacional	Torneo Amateur Lima
1947	26 October 1947	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima
1948	12 June 1948	Universitario	3–2	Stadium Nacional	Torneo Amateur Lima
1948	12 September 1948	Alianza Lima	1–0	Stadium Nacional	Torneo Amateur Lima
1948	21 November 1948	Alianza Lima	5–2	Stadium Nacional	Torneo Amateur Lima
1949	3 July 1949	Alianza Lima	5–0	Stadium Nacional	Torneo Amateur Lima
1949	4 September 1949	Universitario	2–1	Stadium Nacional	Torneo Amateur Lima
1949	13 November 1949	Universitario	3–1	Stadium Nacional	Torneo Amateur Lima
1950	17 September 1950	Alianza Lima	3–1	Stadium Nacional	Torneo Amateur Lima
1950	26 November 1950	Alianza Lima	2–1	Stadium Nacional	Torneo Amateur Lima
