Japanese Title	Romaji Title	TV Station	Episodes	Average Ratings
篤姫	Atsu-hime	NHK	50	24.5%
オトコマエ！	Otokomae!	NHK	13	9.2%
四つの嘘	Yottsu no Uso	TV Asahi	9	9.3%
ロト6で3億2千万円当てた男	Lotto Six de San-oku Ni-senman En Ateta Otoko	TV Asahi	10	6.4%
打撃天使ルリ	Dageki Tenshi Ruri	TV Asahi	10	7.2%
太陽と海の教室	Taiyō to Umi no Kyōshitsu	Fuji TV	10	14.5%
シバトラ	Shibatora	Fuji TV	11	12.5%
モンスターペアレント	Monster Parent	Fuji TV	11	12.2%
コード・ブルー -ドクターヘリ緊急救命-	Code Blue -Doctor Heli Kinkyuu Kyuumei-	Fuji TV	11	15.6%
33分探偵	33pun Tantei	Fuji TV	9	9.1%
乙女のパンチ	Otome no Punch	NHK	6	8.7%
学校じゃ教えられない！	Gakkō ja Oshierarenai!	NTV	10	6.4%
正義の味方	Seigi no Mikata	NTV	10	10.3%
ヤスコとケンジ	Yasuko to Kenji	NTV	10	13%
あんどーなつ	Ando Natsu	TBS	12	9.2%
渡る世間は鬼ばかり 9	Wataru Seken wa Oni Bakari Series 9	TBS	TBA	N/A
恋空	Koizora	TBS	6	6.4%
魔王	Maou	TBS	11	11.4%
Tomorrow -陽はまたのぼる-	Tomorrow -Hi wa Mata Noboru-	TBS	10	12.6%
