Episodes	Monday	Tuesday	Wednesday	Thursday	Friday
Jan. 3 - 7	258 Tagline Takedown	259 PlayStation Move	260 Chew	261 Breaking Bad	262 Parrot AR.Drone
Jan. 17 - 21	268 The Cape	269 Ghost Trick: Phantom Detective	270 Irredeemable	271 The Company Men	272 Charades
Jan. 30 - Feb. 03	278 The Mechanic	279 Experiencing ZeroG from DeadSpace2	280 2011 Oscar Wager	281 DC Universe Online	282 Return of the Dapper Man
Feb. 06 - 10	283 Sanctum	284 Magicka	285 "Radicelli" - Guess the Actor Game	286 Incognito	287 VS.
Feb. 28 - Mar. 03	298 Bulletstorm	299 TRS Mail Bag	300 The Adjustment Bureau	301 Media Mashup	302 Rango
Mar. 06 - Mar. 10	303 2011 Oscar Wager Results	304 2011 Game Developers Conference	305 Killzone 3	306 What Is That?	307 VS.
Mar. 14 - Mar. 17	308 Battle: Los Angeles	309 Dragon Age II	310 TRS Mail Bag	311 Paul	312 Title Fight
Mar. 28 - Apr. 1	318 Nintendo 3DS	319 Sucker Punch	320 Crysis 2	321 Media Mashup	322 4 Year Anniversary
Apr. 24 - Apr. 29	338 Portal 2	339 Water for Elephants	340 Game of Thrones	341 Summer Movie Wager 2011!	342 VS.
May 2 - May 6	343 Fast Five	344 Mortal Kombat	345 Thor	346 Thor	347 Media Mashup
May 9 - May 13	348 Outland	349 Alien Frontiers	350 Ragnar Relay	351 Bridesmaids	352 Title Fight
May 16 - May 20	353 Brink	354 Rad Libs	355 True Legend	356 Pirates of the Caribbean: On Stranger Tides	357 What Is That?
May 30 - Jun. 3	363 The Hangover Part II	364 The Witcher 2	365 Twitter Questions	366 X-Men: First Class	367 VS.
Jun. 6 - Jun. 10	368 Super 8	369 E3 - 2011 Day 1	370 E3 - 2011 Day 2	371 E3 - 2011 Day 3	372 E3 - 2011 Day 4
Jun. 20 - Jun. 24	378 Child of Eden	379 A Better Life	380 What Is That?	381 Cars 2	382 Game of Thrones Season 1 Wrap Up
Jun. 27 - Jul. 1	383 Fear 3	384 Bad Teacher	385 Transformers Dark of the Moon	386 Formula D	387 TRS - Secret Identity
Jul. 4 - Jul. 8	388 Shadows of the Damned	389 TV Pilots Wonder Woman Locke and Key	390 The Resistance	391 The Tree of Life	392 iCade
Jul. 25 - Jul. 29	403 VS.	404 Live TRS Panel at Comic-Con 2011	405 Secret Identity Live at Comic-Con	406 Comic-Con 2011 TRS Panel Q&A	407 TRS at Comic-Con Wrap-up
Aug. 8 - Aug. 12	413 Attack the Block	414 Insanely Twisted Shadow Planet	415 The Go Game	416 Catherine (video game)	417 30 Minutes or Less
Aug. 15 - Aug. 19	418 Trauma	419 Luther	420 What Is That?	421 Alex's Birthday - Molecular Gastronomy	422 Fright Night
Aug. 29 - Sep. 2	PAX Previews: 434 Rage 435 PAX Wrap Up	436 Deus Ex: Human Revolution	437 Secret Identity Live at PAX 2011	438 Magic: The Gathering Mini Masters Tournament	439 Hands-On Impressions from PAX 2011
Sep. 5 - Sep. 9	440 Justice League #1	441 Rock of Ages	442 Apollo 18	443 VS.	444 Contagion
Sep. 12 - Sep. 16	445 Warrior	446 Resistance 3	447 Action and Detective Comics #1s	448 Summer Movie Wager 2011 Results	449 Red State
Sep. 19 - Sep. 23	450 Warhammer 40,000: Space Marine	451 Title Fight	452 50/50	453 A Gifted Man	454 Pan Am
Sep. 26 - Sep. 30	455 Gears of War 3	456 Moneyball	457 Person of Interest	458 Terra Nova	459 Ultimate X-Men and Spider-man #1s
Oct. 17 - Oct. 21	470 Forza 4	471 Elder Scrolls V: Skyrim Preview	472 Footloose	473 Dark Souls	474 Secret Identity
Oct. 31 - Nov. 4	480 Rise of Nightmares	481 Battlefield 3	482 Grimm	483 Anonymous	484 What Is That?
Nov. 7 - Nov. 11	485 Uncharted 3: Drake's Deception	486 Tower Heist	487 Wits & Wagers	488 The Elder Scrolls V: Skyrim	489 Titanic 3D Preview
Nov. 14 - Nov. 18	490 Saints Row: The Third	491 J.Edgar	492 Defenders of the Realm	493 The Umbrella Academy	494 Title Fight
Nov. 21 - Nov. 25	495 The Legend of Zelda: Skyward Sword	496 The Muppets	497 Hugo	498 Title Fight (Thanksgiving)	499 Hell on Wheels
Dec. 5 - Dec. 9	505 The Descendants	506 Minecraft	507 VS.	508 Holiday Gift Ideas	509 Young Adult
Dec. 12 - Dec. 16	510 Assassin's Creed: Revelations	511 Life of George (Lego iPhone game)	512 Rayman Origins	513 Mission: Impossible – Ghost Protocol	514 Secret Identity
Dec. 19 - Dec. 23	515 The Adventures of Tintin	516 War Horse	517 The Girl with the Dragon Tattoo	518 What Is That?	519 Holiday Popcorn Balls
