Congress	Bill number	Date introduced	Sponsor	# of cosponsors
107th Congress	H.R. 1343	April 3, 2001	Rep. John Conyers (D-MI)	208
107th Congress	S. 625	March 27, 2001	Sen. Ted Kennedy (D-MA)	50
108th Congress	H.R. 4204	April 22, 2004	Rep. John Conyers (D-MI)	178
108th Congress	S.Amdt. 3183 to S. 2400	June 14, 2004	Sen. Gordon H. Smith (R-OR)	4
109th Congress	H.R. 2662	May 26, 2005	Rep. John Conyers (D-MI)	159
109th Congress	S. 1145	May 26, 2005	Sen. Ted Kennedy (D-MA)	45
110th Congress	H.R. 1592	March 30, 2007	Rep. John Conyers (D-MI)	171
110th Congress	S. 1105	April 12, 2007	Sen. Ted Kennedy (D-MA)	44
111th Congress	H.R. 1913	April 2, 2009	Rep. John Conyers (D-MI)	120
111th Congress	S. 909	April 28, 2009	Sen. Ted Kennedy (D-MA)	45
111th Congress	S.Amdt. 1511 to S. 1390	July 15, 2009	Sen. Patrick Leahy (D-VT)	37
