Position	Album title	Artist	Sales	Peak
1	Rockferry	Duffy	1,684,944	1
2	The Circus	Take That	1,446,135	1
3	Only by the Night	Kings of Leon	1,181,640	1
4	Spirit	Leona Lewis	1,180,370	1
5	Viva la Vida or Death and All His Friends	Coldplay	1,086,962	1
6	Good Girl Gone Bad	Rihanna	820,584	1 (in 2007)
7	Day & Age	The Killers	703,213	1
8	Out of Control	Girls Aloud	591,785	1
9	Funhouse	Pink	587,984	1
10	Scouting for Girls	Scouting for Girls	574,630	1
11	All the Right Reasons	Nickelback	568,000	2
12	The Script	The Script	542,000	1
13	Decade in the Sun: The Best of Stereophonics	Stereophonics	528,000	2
14	Back to Black: The Deluxe Edition	Amy Winehouse	523,000	1
15	Dig Out Your Soul	Oasis	500,000	1
16	19	Adele	479,000	1
17	The Promise	Il Divo	468,000	1
18	A Hundred Million Suns	Snow Patrol	424,000	2
19	Gold: Greatest Hits	ABBA	409,000	1
20	My Love: Essential Collection	Celine Dion	398,000	5
21	This Is the Life	Amy Macdonald	393,000	1
22	The Priests	The Priests	391,000	5
23	We Started Nothing	The Ting Tings	378,000	1
24	Year of the Gentleman	Ne-Yo	371,000	2
25	Black Ice	AC/DC	370,500	1
26	Life in Cartoon Motion	Mika	363,000	1
27	Call Me Irresponsible	Michael Bublé	354,000	2
28	Home Before Dark	Neil Diamond	349,000	1
29	Rhydian	Rhydian	347,000	4
30	Let It Go	Will Young	343,000	2
31	Greatest Hits	Enrique Iglesias	339,000	3
32	Exclusive	Chris Brown	335,000	3
33	Beautiful World	Take That	331,000	1
34	Raising Sand	Robert Plant & Alison Krauss	328,000	2
35	The Seldom Seen Kid	Elbow	325,000	5
36	Hard Candy	Madonna	323,000	1
37	The Best Bette	Bette Midler	312,000	6
38	I Am… Sasha Fierce	Beyoncé	311,734	2 (in 2009)
39	The Best Of	Sash!	297,000	9
40	Safe Trip Home	Dido	297,000	2
