Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Philadelphia	1 – 2	New Jersey	Esche	16,067	33–16–10
March 2	NY Rangers	6 – 1	Philadelphia	Esche	19,682	33–17–10
March 4	Philadelphia	2 – 4	NY Islanders	Niittymaki	16,234	33–18–10
March 6	Montreal	4 – 5	Philadelphia	Esche	19,561	34–18–10
March 8	Carolina	2 – 3	Philadelphia	Niittymaki	19,644	35–18–10
March 11	Buffalo	6 – 5	Philadelphia	Niittymaki	19,717	35–19–10
March 12	Philadelphia	0 – 2	Pittsburgh	Esche	14,904	35–20–10
March 15	Philadelphia	4 – 0	Florida	Esche	15,614	36–20–10
March 17	Philadelphia	3 – 6	Tampa Bay	Esche	20,834	36–21–10
March 18	Philadelphia	4 – 2	Atlanta	Niittymaki	18,612	37–21–10
March 21	New Jersey	1 – 2	Philadelphia	Niittymaki	19,777	38–21–10
March 22	Philadelphia	6 – 3	NY Rangers	Esche	18,200	39–21–10
March 25	Ottawa	3 – 6	Philadelphia	Niittymaki	19,869	40–21–10
March 28	Toronto	3 – 2	Philadelphia	Niittymaki	19,651	40–22–10
