Game	Date	Opponent	Score	Decision	Location/Attendance	Record
37	2	Montreal Canadiens	4-1	Clemmensen	Prudential Center - 17,625	22-12-3
38	4	Ottawa Senators	4-3 (OT)	Clemmensen	Prudential Center - 14,798	23-12-3
39	6	Carolina Hurricanes	2-3	Clemmensen	RBC Center - 15,399	23-13-3
40	8	Atlanta Thrashers	4-0	Clemmensen	Prudential Center - 16,489	23-14-3
41	10	Los Angeles Kings	5-1	Weekes	Staples Center - 18,118	24-14-3
42	11	Anaheim Ducks	3-4	Clemmensen	Honda Center - 17,331	24-15-3
43	13	Vancouver Canucks	5-3	Clemmensen	GM Place - 18,630	25-15-3
44	16	Columbus Blue Jackets	2-1	Weekes	Nationwide Arena - 17,738	26-15-3
45	17	New York Islanders	3-1	Clemmensen	Nassau Coliseum - 16,234	27-15-3
46	19	Nashville Predators	3-1	Clemmensen	Sommet Center - 14,848	28-15-3
47	21	Montreal Canadiens	2-5	Clemmensen	Prudential Center - 16,235	29-15-3
48	27	Ottawa Senators	4-1	Clemmensen	Scotiabank Place - 18,786	30-15-3
49	29	Boston Bruins	4-3 (OT)	Clemmensen	TD Banknorth Garden - 17,565	31-15-3
50	30	Pittsburgh Penguins	3-4 (OT)	Clemmensen	Prudential Center - 17,625	32-15-3
