Date	Tournament	Surface	Opponent in the final	Score
15 September 1996	Karlovy Vary , Czech Republic	Clay	Ruxandra Dragomir	6–2, 3–6, 6–4
28 September 1998	Munich , Germany	Hard (i)	Venus Williams	6–2, 3–6, 6–2
16 July 2000	Klagenfurt , Austria	Clay	Barbara Schett	5–7, 6–4, 6–4
12 July 2001	Vienna , Austria	Clay	Iroda Tulyaganova	6–3, 6–2
21 April 2002	Hilton Head , South Carolina , USA	Clay	Iva Majoli	7–6(5), 6–4
15 May 2005	Rome , Italy	Clay	Amélie Mauresmo	2–6, 6–3, 6–4
23 October 2005	Zürich , Switzerland	Carpet (i)	Lindsay Davenport	7–6(5), 6–3
30 October 2005	Linz , Austria	Hard (i)	Nadia Petrova	4–6, 6–3, 6–1
16 April 2006	Charleston , South Carolina, USA	Clay	Nadia Petrova	6–3, 4–6, 6–1
30 July 2006	Stanford , California, USA	Hard	Kim Clijsters	6–4, 6–2
16 April 2007	San Diego , California, USA	Hard	Maria Sharapova	6–2, 3–6, 6–0
28 October 2007	Linz , Austria	Hard (i)	Daniela Hantuchová	6–4, 6–2
9 March 2008	Bangalore , India	Hard	Serena Williams	7–5, 6–3
12 July 2009	Budapest , Hungary	Clay	Ágnes Szávay	2–6, 6–4, 6–2
11 July 2010	Budapest, Hungary	Clay	Ágnes Szávay	6–2, 6–4
17 October 2010	Linz, Austria	Hard (i)	Ana Ivanovic	6–1, 6–2
