Rank	Nation	Gold	Silver	Bronze	Total
1	Great Britain (GBR)	17	3	0	20
2	United States (USA)	5	4	4	13
3	Australia (AUS)	3	5	7	15
4	Germany (GER)	3	6	4	13
5	Spain (ESP)	3	5	3	11
6	Czech Republic (CZE)	2	2	4	8
7	Italy (ITA)	2	1	3	6
8	Switzerland (SUI)	2	0	0	2
9	Japan (JPN)	1	3	2	6
10	France (FRA)	1	1	2	4
11	South Africa (RSA)	1	1	1	3
12	Austria (AUT)	1	1	0	2
12	Belarus (BLR)	1	1	0	2
14	New Zealand (NZL)	1	0	3	4
15	Poland (POL)	1	0	1	2
16	China (CHN)	0	3	4	7
17	Netherlands (NED)	0	3	0	3
18	South Korea (KOR)	0	1	1	2
19	Finland (FIN)	0	1	0	1
19	Romania (ROU)	0	1	0	1
19	Slovakia (SVK)	0	1	0	1
22	Canada (CAN)	0	0	2	2
22	Lebanon (LIB)	0	0	2	2
23	Belgium (BEL)	0	0	1	1
Total	Total	44	44	44	132
