Member	Party	Electorate	State	Term in office
Hon Evan Adermann	National	Fairfax	Qld	1972–1990
Ken Aldred	Liberal	Bruce	Vic	1975–1980, 1983–1996
Neil Andrew	Liberal	Wakefield	SA	1983–2004
Peter Baldwin	Labor	Sydney	NSW	1983–1998
Julian Beale	Liberal	Deakin	Vic	1984–1996
Hon Kim Beazley	Labor	Swan	WA	1980–2007
David Beddall	Labor	Rankin	Qld	1983–1998
Gordon Bilney	Labor	Kingston	SA	1983–1996
Allen Blanchard	Labor	Moore	WA	1983–1990
Hon Dr Neal Blewett	Labor	Bonython	SA	1977–1994
Charles Blunt	National	Richmond	NSW	1984–1990
Hon Lionel Bowen	Labor	Kingsford-Smith	NSW	1969–1990
Ray Braithwaite	National	Dawson	Qld	1975–1996
Bob Brown	Labor	Charlton	NSW	1980–1998
Hon John Brown	Labor	Parramatta	NSW	1977–1990
Hon Neil Brown	Liberal	Menzies	Vic	1969–1972, 1975–1983, 1984–1991
John Brumby	Labor	Bendigo	Vic	1983–1990
Max Burr	Liberal	Lyons	Tas	1975–1993
Alan Cadman	Liberal	Mitchell	NSW	1974–2007
Ewen Cameron	Liberal	Indi	Vic	1977–1993
Donald Cameron	Liberal	Moreton	Qld	1966–1983, 1983–1990
Ian Cameron	National	Maranoa	Qld	1980–1990
Graeme Campbell	Labor	Kalgoorlie	WA	1980–1998
Hon Jim Carlton	Liberal	Mackellar	NSW	1977–1994
David Charles	Labor	Isaacs	Vic	1980–1990
Dr Ric Charlesworth	Labor	Perth	WA	1983–1993
Hon Joan Child	Labor	Henty	Vic	1974–1975, 1980–1990
Bob Chynoweth	Labor	Dunkley	Vic	1984–1990, 1993–1996
Peter Cleeland	Labor	McEwen	Vic	1984–1990, 1993–1996
Michael Cobb	National	Parkes	NSW	1984–1998
Hon Barry Cohen	Labor	Robertson	NSW	1969–1990
Peter Coleman	Liberal	Wentworth	NSW	1981–1987
David Connolly	Liberal	Bradfield	NSW	1974–1996
Bryan Conquest	National	Hinkler	Qld	1984–1987
Bruce Cowan	National	Lyne	NSW	1980–1993
Manfred Cross	Labor	Brisbane	Qld	1961–1975, 1980–1990
Barry Cunningham	Labor	McMillan	Vic	1980–1990, 1993–1996
Elaine Darling	Labor	Lilley	Qld	1980–1993
Hon John Dawkins	Labor	Fremantle	WA	1974–1975, 1977–1994
Hon Don Dobie	Liberal	Cook	NSW	1966–1972, 1975–1998
Alexander Downer	Liberal	Mayo	SA	1984–2008
Peter Drummond	Liberal	Forrest	WA	1972–1987
Stephen Dubois	Labor	St George	NSW	1984–1993
Hon Michael Duffy	Labor	Holt	Vic	1980–1996
Hon Peter Duncan	Labor	Makin	SA	1984–1996
Dr Harry Edwards	Liberal	Berowra	NSW	1972–1993
Ron Edwards	Labor	Stirling	WA	1983–1993
Hon Paul Everingham	Country Liberal	Northern Territory	NT	1984–1987
Wendy Fatin	Labor	Brand	WA	1983–1996
Hon Wal Fife	Liberal	Hume	NSW	1975–1993
Tim Fischer	National	Farrer	NSW	1984–2001
Peter Fisher	National	Mallee	Vic	1972–1993
Eric Fitzgibbon	Labor	Hunter	NSW	1984–1996
Ross Free	Labor	Lindsay	NSW	1980–1996
John Gayler	Labor	Leichhardt	Qld	1983–1993
George Gear	Labor	Canning	WA	1983–1996
Bruce Goodluck	Liberal	Franklin	Tas	1975–1993
Russ Gorman	Labor	Greenway	NSW	1983–1996
Ted Grace	Labor	Fowler	NSW	1984–1998
Alan Griffiths	Labor	Maribyrnong	Vic	1983–1996
Steele Hall	Liberal	Boothby	SA	1981–1996
Bob Halverson	Liberal	Casey	Vic	1984–1998
Gerry Hand	Labor	Melbourne	Vic	1983–1993
Hon Bob Hawke	Labor	Wills	Vic	1980–1992
David Hawker	Liberal	Wannon	Vic	1983–2010
Hon Bill Hayden	Labor	Oxley	Qld	1961–1988
Noel Hicks	National	Riverina-Darling	NSW	1980–1998
Hon John Hodges	Liberal	Petrie	Qld	1974–1983; 1984–1987
Hon Michael Hodgman	Liberal	Denison	Tas	1975–1987
Hon Clyde Holding	Labor	Melbourne Ports	Vic	1977–1998
Colin Hollis	Labor	Throsby	NSW	1983–1998
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Hon Brian Howe	Labor	Batman	Vic	1977–1996
Ben Humphreys	Labor	Griffith	Qld	1977–1996
Hon Ralph Hunt	National	Gwydir	NSW	1969–1990
Hon Chris Hurford	Labor	Adelaide	SA	1969–1987
Ralph Jacobi	Labor	Hawker	SA	1969–1987
Carolyn Jakobsen	Labor	Cowan	WA	1984–1993
Hon Dr Harry Jenkins, Sr. [1 ]	Labor	Scullin	Vic	1969–1986
Harry Jenkins [1 ]	Labor	Scullin	Vic	1986–2013
Hon Barry Jones	Labor	Lalor	Vic	1977–1998
David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Bob Katter	National	Kennedy	Qld	1966–1990
Hon Paul Keating	Labor	Blaxland	NSW	1969–1996
Hon Ros Kelly	Labor	Canberra	ACT	1980–1995
Lewis Kent	Labor	Hotham	Vic	1980–1990
Len Keogh	Labor	Bowman	Qld	1969–1975, 1983–1987
Hon John Kerin	Labor	Werriwa	NSW	1972–1975, 1978–1993
Dr Richard Klugman	Labor	Prospect	NSW	1969–1990
Tony Lamb	Labor	Streeton	Vic	1972–1975, 1984–1990
John Langmore	Labor	Fraser	ACT	1984–1997
Michael Lee	Labor	Dobell	NSW	1984–2001
Ted Lindsay	Labor	Herbert	Qld	1983–1996
Bruce Lloyd	National	Murray	Vic	1971–1996
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Peter McGauran	National	Gippsland	Vic	1983–2008
Jeannette McHugh	Labor	Phillip	NSW	1983–1996
Hon Michael MacKellar	Liberal	Warringah	NSW	1969–1994
Leo McLeay	Labor	Grayndler	NSW	1979–2004
Hon Ian Macphee	Liberal	Goldstein	Vic	1974–1990
Hon Tom McVeigh	National	Groom	Qld	1972–1988
Michael Maher	Labor	Lowe	NSW	1969–1987
Stephen Martin	Labor	Macarthur	NSW	1984–2002
Helen Mayer	Labor	Chisholm	Vic	1983–1987
John Mildren	Labor	Ballarat	Vic	1980–1990
Chris Miles	Liberal	Braddon	Tas	1984–1998
Clarrie Millar	National	Wide Bay	Qld	1974–1990
Peter Milton	Labor	La Trobe	Vic	1980–1990
Hon John Moore	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–1998
Hon Peter Morris	Labor	Shortland	NSW	1972–1998
John Mountford	Labor	Banks	NSW	1980–1990
Garry Nehl	National	Cowper	NSW	1984–2001
Neil O'Keefe	Labor	Burke	Vic	1984–2001
Lloyd O'Neil	Labor	Grey	SA	1983–1993
Hon Andrew Peacock	Liberal	Kooyong	Vic	1966–1994
James Porter	Liberal	Barker	SA	1975–1990
Roger Price	Labor	Chifley	NSW	1984–2010
Gary Punch	Labor	Barton	NSW	1983–1996
Peter Reith	Liberal	Flinders	Vic	1982–1983, 1984–2001
Hon Ian Robinson	National	Page	NSW	1963–1990
Allan Rocher	Liberal	Curtin	WA	1981–1998
Philip Ruddock	Liberal	Dundas	NSW	1973–present
John Saunderson	Labor	Aston	Vic	1983–1990
Hon Gordon Scholes	Labor	Corio	Vic	1967–1993
John Scott	Labor	Hindmarsh	SA	1980–1993
Peter Shack	Liberal	Tangney	WA	1977–1983, 1984–1993
John Sharp	National	Gilmore	NSW	1984–1998
Roger Shipton	Liberal	Higgins	Vic	1975–1990
Hon David Simmons	Labor	Calare	NSW	1983–1996
Rt Hon Ian Sinclair	National	New England	NSW	1963–1998
Peter Slipper	Liberal	Fisher	Qld	1984–1987, 1993–2013
Warwick Smith	Liberal	Bass	Tas	1984–1993
Jim Snow	Labor	Eden-Monaro	NSW	1983–1996
John Spender	Liberal	North Sydney	NSW	1980–1990
Peter Staples	Labor	Jagajaga	Vic	1983–1996
Kathy Sullivan	Liberal	Moncrieff	Qld	1984–2001
Dr Andrew Theophanous	Labor	Calwell	Vic	1980–2001
Robert Tickner	Labor	Hughes	NSW	1984–1996
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Tom Uren	Labor	Reid	NSW	1958–1990
Dr David Watson	Liberal	Forde	Qld	1984–1987
Alasdair Webster	Liberal	Macquarie	NSW	1984–1993
Hon Stewart West	Labor	Cunningham	NSW	1977–1993
Peter White	Liberal	McPherson	Qld	1981–1990
Hon Ralph Willis	Labor	Gellibrand	Vic	1972–1998
Hon Ian Wilson	Liberal	Sturt	SA	1966–1969, 1972–1993
Keith Wright	Labor	Capricornia	Qld	1984–1993
Hon Mick Young	Labor	Port Adelaide	SA	1974–1988
