Name	Species/Authority	Order	Family	Red List
Coyote	Canis latrans Say, 1823	Carnivora	Canidae	7
Feral Domestic Dog	Canis familiaris Linnaeus, 1758	Carnivora	Canidae	0
Gray Fox	Urocyon cinereoargenteus (Schreber, 1775)	Carnivora	Canidae	7
Red Fox	Vulpes vulpes Linnaeus, 1758	Carnivora	Canidae	7
Red Wolf	Canis rufus Audubon & Bachman, 1851	Carnivora	Canidae	3
Bobcat	Lynx rufus (Schreber, 1777)	Carnivora	Felidae	7
Cougar	Puma concolor (Linnaeus, 1771)	Carnivora	Felidae	6
Feral Domestic Cat	Felis catus Schreber, 1775	Carnivora	Felidae	0
Jaguarundi	Herpailurus yaguarondi (Lacépède, 1809)	Carnivora	Felidae	7
Eastern Spotted Skunk	Spilogale putorius (Linnaeus, 1758)	Carnivora	Mephitidae	7
Striped Skunk	Mephitis mephitis (Schreber, 1776)	Carnivora	Mephitidae	7
Long-Tailed Weasel	Mustela frenata Lichtenstein, 1831	Carnivora	Mustelidae	7
Mink	Mustela vison Schreber, 1777	Carnivora	Mustelidae	7
Northern River Otter	Lontra canadensis (Schreber, 1777)	Carnivora	Mustelidae	7
Common Raccoon	Procyon lotor (Linnaeus, 1758)	Carnivora	Procyonidae	7
American Black Bear	Ursus americanus Pallas, 1780	Carnivora	Ursidae	7
