Stage	Winner	General classification	Points classification	Mountains classification	Young rider classification	Intergiro classification	Trofeo Fast Team
1	Thierry Marie	Thierry Marie	Thierry Marie	not awarded	Julio César Ortegón	Miguel Indurain	Castorama
2	Endrio Leoni	Thierry Marie	Mario Cipollini	Germano Pierdomenico	Julio César Ortegón	Stefano Zanini	Castorama
3	Maximilian Sciandri	Miguel Indurain	Maximilian Sciandri	Germano Pierdomenico	Yvon Ledanois	Adriano Baffi	Banesto
4	Miguel Indurain	Miguel Indurain	Miguel Indurain	Miguel Indurain	Armand de Las Cuevas	Miguel Indurain	Banesto
5	Mario Cipollini	Miguel Indurain	Miguel Indurain	Miguel Indurain	Armand de Las Cuevas	Miguel Indurain	Banesto
6	Franco Vona	Miguel Indurain	Miguel Indurain	Roberto Conti	Armand de Las Cuevas	Miguel Indurain	Ariostea
7	Guido Bontempi	Miguel Indurain	Miguel Indurain	Roberto Conti	Armand de Las Cuevas	Miguel Indurain	Ariostea
8	Mario Cipollini	Miguel Indurain	Mario Cipollini	Roberto Conti	Armand de Las Cuevas	Miguel Indurain	Ariostea
9	Guido Bontempi	Miguel Indurain	Mario Cipollini	Roberto Conti	Armand de Las Cuevas	Miguel Indurain	Ariostea
10	Luis Herrera	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	Gatorade
11	Roberto Pagnin	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	Gatorade
12	Endrio Leoni	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	GB-MG Maglificio
13	Franco Vona	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	GB-MG Maglificio
14	Giorgio Furlan	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	GB-MG Maglificio
15	François Simon	Miguel Indurain	Mario Cipollini	Roberto Conti	Leonardo Sierra	Miguel Indurain	Ariostea
16	Marco Saligari	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Leonardo Sierra	Miguel Indurain	Ariostea
17	Mario Cipollini	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Leonardo Sierra	Miguel Indurain	Ariostea
18	Marco Giovannetti	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	Ariostea
19	Udo Bölts	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	GB-MG Maglificio
20	Franco Chioccioli	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	GB-MG Maglificio
21	Mario Cipollini	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	GB-MG Maglificio
22	Miguel Indurain	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	GB-MG Maglificio
Final	Final	Miguel Indurain	Mario Cipollini	Claudio Chiappucci	Pavel Tonkov	Miguel Indurain	GB-MG Maglificio
