Date	Visitor	Score	Home	Record
October 11	Chicago Black Hawks	2–4	Montreal Canadiens	0–1–0
October 13	Chicago Black Hawks	3–1	Toronto Maple Leafs	1–1–0
October 14	New York Rangers	2–3	Chicago Black Hawks	2–1–0
October 18	Detroit Red Wings	6–1	Chicago Black Hawks	2–2–0
October 21	Toronto Maple Leafs	1–1	Chicago Black Hawks	2–2–1
October 25	Montreal Canadiens	2–2	Chicago Black Hawks	2–2–2
October 28	Boston Bruins	2–0	Chicago Black Hawks	2–3–2
November 1	New York Rangers	2–4	Chicago Black Hawks	3–3–2
November 4	Boston Bruins	4–2	Chicago Black Hawks	3–4–2
November 7	Chicago Black Hawks	0–1	Toronto Maple Leafs	3–5–2
November 8	Toronto Maple Leafs	3–1	Chicago Black Hawks	3–6–2
November 10	Chicago Black Hawks	2–4	Montreal Canadiens	3–7–2
November 11	Chicago Black Hawks	2–3	New York Rangers	3–8–2
November 13	Chicago Black Hawks	3–1	Boston Bruins	4–8–2
November 15	Chicago Black Hawks	1–3	Detroit Red Wings	4–9–2
November 18	Toronto Maple Leafs	0–1	Chicago Black Hawks	5–9–2
November 21	Chicago Black Hawks	1–5	Toronto Maple Leafs	5–10–2
November 22	Montreal Canadiens	1–5	Chicago Black Hawks	6–10–2
November 24	Chicago Black Hawks	6–2	Detroit Red Wings	7–10–2
November 25	Detroit Red Wings	5–2	Chicago Black Hawks	7–11–2
November 28	Chicago Black Hawks	3–6	New York Rangers	7–12–2
December 1	Chicago Black Hawks	2–4	Montreal Canadiens	7–13–2
December 2	New York Rangers	4–6	Chicago Black Hawks	8–13–2
December 4	Chicago Black Hawks	1–3	Boston Bruins	8–14–2
December 8	Chicago Black Hawks	1–3	Toronto Maple Leafs	8–15–2
December 9	Boston Bruins	3–4	Chicago Black Hawks	9–15–2
December 13	Montreal Canadiens	1–1	Chicago Black Hawks	9–15–3
December 15	Chicago Black Hawks	0–3	Detroit Red Wings	9–16–3
December 16	Toronto Maple Leafs	3–4	Chicago Black Hawks	10–16–3
December 20	Detroit Red Wings	6–4	Chicago Black Hawks	10–17–3
December 22	Chicago Black Hawks	1–5	Montreal Canadiens	10–18–3
December 23	Chicago Black Hawks	2–3	New York Rangers	10–19–3
December 25	Chicago Black Hawks	6–2	Boston Bruins	11–19–3
December 29	Chicago Black Hawks	1–3	Detroit Red Wings	11–20–3
January 1	Montreal Canadiens	3–0	Chicago Black Hawks	11–21–3
January 5	Chicago Black Hawks	1–2	Toronto Maple Leafs	11–22–3
January 6	Chicago Black Hawks	2–3	New York Rangers	11–23–3
January 8	Boston Bruins	7–2	Chicago Black Hawks	11–24–3
January 12	Chicago Black Hawks	3–8	Montreal Canadiens	11–25–3
January 13	Chicago Black Hawks	4–5	Boston Bruins	11–26–3
January 16	Chicago Black Hawks	6–4	New York Rangers	12–26–3
January 17	New York Rangers	6–6	Chicago Black Hawks	12–26–4
January 20	Toronto Maple Leafs	3–1	Chicago Black Hawks	12–27–4
January 24	Montreal Canadiens	4–1	Chicago Black Hawks	12–28–4
January 26	Chicago Black Hawks	3–2	Detroit Red Wings	13–28–4
January 27	Detroit Red Wings	2–0	Chicago Black Hawks	13–29–4
January 31	Boston Bruins	0–0	Chicago Black Hawks	13–29–5
February 3	Toronto Maple Leafs	1–3	Chicago Black Hawks	14–29–5
February 5	Chicago Black Hawks	0–5	Boston Bruins	14–30–5
February 7	New York Rangers	3–1	Chicago Black Hawks	14–31–5
February 10	Montreal Canadiens	3–2	Chicago Black Hawks	14–32–5
February 14	Detroit Red Wings	3–2	Chicago Black Hawks	14–33–5
February 16	Chicago Black Hawks	2–2	Toronto Maple Leafs	14–33–6
February 17	Boston Bruins	5–2	Chicago Black Hawks	14–34–6
February 21	Toronto Maple Leafs	1–5	Chicago Black Hawks	15–34–6
February 23	Chicago Black Hawks	0–7	Montreal Canadiens	15–35–6
February 24	Detroit Red Wings	2–1	Chicago Black Hawks	15–36–6
February 28	New York Rangers	2–2	Chicago Black Hawks	15–36–7
March 2	Montreal Canadiens	6–4	Chicago Black Hawks	15–37–7
March 3	Chicago Black Hawks	2–3	Detroit Red Wings	15–38–7
March 6	New York Rangers	5–3	Chicago Black Hawks	15–39–7
March 8	Chicago Black Hawks	4–4	Montreal Canadiens	15–39–8
March 9	Chicago Black Hawks	2–4	Boston Bruins	15–40–8
March 12	Chicago Black Hawks	2–10	New York Rangers	15–41–8
March 13	Boston Bruins	3–3	Chicago Black Hawks	15–41–9
March 15	Chicago Black Hawks	1–6	Detroit Red Wings	15–42–9
March 16	Detroit Red Wings	4–0	Chicago Black Hawks	15–43–9
March 18	Chicago Black Hawks	0–4	Boston Bruins	15–44–9
March 22	Chicago Black Hawks	3–2	Toronto Maple Leafs	16–44–9
March 23	Chicago Black Hawks	7–6	New York Rangers	17–44–9
