Throne Name	Title	Born-Died	Entered office	Left office
s Great Khan (1221–1256)	s Great Khan (1221–1256)	s Great Khan (1221–1256)	s Great Khan (1221–1256)	s Great Khan (1221–1256)
Genghis	Khan, Qa'an	1162–1227	1221	1227
Tolui	Khan	1192–1232	25 August 1227	13 September 1229
Ögedei	Khan, Qa'an	c. 1186 – 11 December 1241	13 September 1229	11 December 1241
Töregene	Khatun	? – ?	1242	1246
Güyük	Khan, Qa'an	c. 1206–1248	1246	1248
Oghul Qaimish	Khatun	? – ?	1248	1251
Möngke	Khan, Qa'an	10 January 1209 – 11 August 1259	1 July 1251	11 August 1259
Ilkhanate (1256–1357)	Ilkhanate (1256–1357)	Ilkhanate (1256–1357)	Ilkhanate (1256–1357)	Ilkhanate (1256–1357)
Hulagu	Khan, Ilkhan	c. 1217 – 8 February 1265	1256	8 February 1265
Abaqa	Khan, Ilkhan	1234–1282	1265	1 April 1282
Tekuder	Khan, Ilkhan, Soltan	? – 1284	1282	1284
Arghun	Khan, Ilkhan, Soltan	c. 1258 – 7 March 1291	1284	7 March 1291
Gaykhatu	Khan, Ilkhan, Soltan	? – 1295	1291	1295
Baydu	Khan, Ilkhan, Soltan	? – 1295	1295	1295
Ghazan	Khan, Ilkhan, Soltan	1271–1304	1295	1304
Öljaitü	Khan, Ilkhan, Soltan, Khodabandeh	1280 – 16 December 1316	1304	16 December 1316
Abu Sa'id	Khan, Ilkhan, Soltan, Ala' od-Din, Bahador	2 June 1305 – 1 December 1335	1316	1 December 1335
Arpa	Khan, Ilkhan, Soltan, Kauen, Mo'ezz od-Din	? – 1336	1335	10 April 1336
Musa	Khan, Ilkhan, Soltan, Naser od-Din	? – 1337	12 April 1336	1337
Mohammad	Khan, Ilkhan, Soltan, Mozaffar od-Din	? – 1338	1336	1338
Sati beg	Khatun	c.1300 – after 1345	1338	1339
Jahan Temur	Khan, Ilkhan, Soltan, Izz od-Din	? – ?	1339	1340
Soleiman	Khan, Ilkhan, Soltan	? – ?	May 1339	1345
Togha Temür	Khan, Ilkhan, Soltan	? – 1353	1335	1353
Anushirwan	Khan, Ilkhan, Soltan, Adel	? – ?	1344	1357
