Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Runcorn	42	7	3	99	22	+77	71
2	Mossley	42	7	11	95	55	+40	55
3	Marine	42	10	10	66	41	+25	54
4	Buxton	42	7	14	64	50	+14	49
5	Gainsborough Trinity	42	13	12	80	57	+23	47
6	Burton Albion	42	8	15	63	54	+9	46
7	Witton Albion	42	8	15	70	62	+8	46
8	Goole Town	42	16	12	56	50	+6	44
9	South Liverpool	42	6	17	59	64	−5	44
10	Workington	42	13	14	57	48	+9	43
11	Gateshead	42	18	12	65	61	+4	42
12	Worksop Town	42	11	16	66	61	+5	41
13	Macclesfield Town	42	13	16	52	69	−17	39
14	Grantham	42	9	19	57	74	−17	37
15	Matlock Town	42	12	18	57	80	−23	36
16	Lancaster City	42	9	20	48	70	−22	35
17	Netherfield	42	12	19	73	81	−8	34
18	Oswestry Town	42	8	21	54	67	−13	34
19	King's Lynn	42	18	16	46	65	−19	34
20	Southport	42	11	20	42	68	−26	33
21	Morecambe	42	8	23	42	74	−32	30
22	Tamworth	42	12	21	38	76	−38	30
