Election number	Election date	District	Province	Took office	Left office
9	1837-9-22	At large	Seville	1837-12-19	1839-06-01
11	1840-1-19	At large	Ávila	1840-02-21	1840-10-11
14	1843-9-15	At large	Badajoz	1843-10-18	1844-07-10
15	1844-9-3	At large	Badajoz	1844-10-14	1846-10-31
16	1846-6-21	Fregenal de la Sierra	Badajoz	1847-01-03	1848-12-18
16	1846-6-21	Fregenal de la Sierra	Badajoz	1847-12-20	1850-08-04
17	1850-8-31	Fregenal de la Sierra	Badajoz	1850-11-06	1851-04-07
17	1850-8-31	Huelva	Huelva	1850-11-06	1850-11-15
18	1851-5-10	Elche de la Sierra	Albacete	1851-06-04	1851-06-17
18	1851-5-10	Fregenal de la Sierra	Badajoz	1851-06-04	1852-12-02
19	1853-2-4	Fregenal de la Sierra	Badajoz	1853-03-15	1853-12-10
