Round	Name	Position	School	Signed
1	Terry McDermott	C	St. Agnes High School	Yes
2	Lee Lacy	LHP	Putnam City High School	Yes
3	Al Dawson	OF	Lyndhurst High School	Yes
4	Bob O'Brien	OF	Texas A&M University	Yes
5	Mark Mechuk	RHP	St. Bernard High School	No
6	Stan Wall	LHP	Raytown South High School	Yes
7	James Cardasis	OF	New York University	Yes
8	Kenneth Bruno	SS	Cliffside Park High School	Yes
9	Larry President	LHP	Temple High School	Yes
10	Ronald Mitchell	OF	Aqua Fria High School	Yes
11	John Hughes	1B	Parkwood High School	Yes
12	Stanley Russell	RHP	Villa Park High School	Yes
13	Ronald Dolan	2B	Seton Hall University	No
14	Arthur Pauls	RHP	Lewis University	Yes
15	Roy Staiger	SS	Bacone College	No Mets - 1970
16	Jimmy Page	RHP	Hardesty High School	No
17	Edgar Bellamy	SS	Fort Cobb High School	No
18	Mark Pastrovich	LHP	Mascoutah High School	No Twins - 1970
19	Anthony Blakley	SS	Sullivan West High School	No Pirates - 1971
20	Donald Sweetland	C	Saddleback College	No
21	Joseph Szewczyk	1B	New York University	Yes
22	Royle Stillman	OF	North Torrance High School	Yes
23	Manuel Washington	OF	Mississippi State University	Yes
24	David Allen	LHP	California Western University	Yes
25	William Owen	3B	Willington High School	No
26	Jim Fuller	OF	San Diego City College	No Orioles - 1970
27	Johnny Hatcher	RHP	Andrews High School	No
28	Harry Chapman	RHP	Sarasota High School	No
29	George Horman	C	Crawford High School	No
30	Nick Devirgilis	OF	Sarasota High School	No
31	Jeffrey Hogan	SS	Florida State University	No Tigers - 1970
32	Raymond Ippolito	SS	New York University	No
33	Robert Cox	RHP	Southeast High School	No
34	Vincent D'amico	1B	University of Albuquerque	Yes
35	Jerry Arnold	LHP	Woodward High School	No
36	William Wyles	LHP	New Mexico Military Institute	No
37	Gary Granville	OF	El Camino College	No Angels - 1970
38	Johnny Rodgers	INF	Tech High School	No
39	Gary Erskine	OF	Anderson High School	No
40	Dennis Haren	OF	Bishop Montgomery High School	Yes
41	Rod Boone	C	Crawford High School	No Royals - 1972
42	Robert Sicilia	OF	John R. Rogers High School	Yes
43	Robert Payne	OF	University of California, Riverside	Yes
