Series #	Season #	Title	Director	Writer(s)	Original air date
15	1	"The Second Greatest Story Ever Told, Part 1"	John Landis	Marta Kauffman and David Crane	July7,1991
16	2	"The Second Greatest Story Ever Told, Part 2"	John Landis	Marta Kauffman and David Crane	July7,1991
17	3	"And Your Little Dog, Too"	Catherine O'Hara	Marta Kauffman and David Crane	July14,1991
18	4	"The 37-Year Itch"	Betty Thomas	Dava Savel	July21,1991
19	5	"Calling the Kettle Black"	Peter Baldwin	Jeff Greenstein and Jeff Strauss	July28,1991
20	6	"Futile Attraction"	Arlene Sanford	Marta Kauffman and David Crane	August4,1991
21	7	"No, I'm Just Happy to See You"	Arlene Sanford	Jeff Greenstein and Jeff Strauss	August11,1991
22	8	"What I Did for Lust"	Bethany Rooney	Theresa Rebeck	August18,1991
23	9	"Play Melville for Me"	Arlene Sanford	Craig Hoffman	August25,1991
24	10	"To Have and Have and Have and Have Not"	John Axness	Craig Hoffman	September1,1991
25	11	"Pants on Fire"	Arlene Sanford	Marta Kauffman and David Crane	September8,1991
26	12	"The Charlotte Letter"	Peter Baldwin	Tom Leopold	September15,1991
27	13	"The Name of the Game Is Five-Card Stud"	Rob Thompson	Theresa Rebeck	September22,1991
28	14	"So Funny I Forgot to Laugh"	Betty Thomas	Jeff Greenstein and Jeff Strauss	September29,1991
