Week	Date	Kickoff (ET)	Opponent	Result	Record	Game site	NFL Recap
1	Sun. Sep. 12	1:00pm	Oakland Raiders	W 24–21	1–0	Heinz Field	Recap
2	Sun. Sep. 19	1:00pm	at Baltimore Ravens	L 30–13	1–1	M&T Bank Stadium	Recap
3	Sun. Sep. 26	8:30pm	at Miami Dolphins	W 13–3	2–1	Pro Player Stadium	Recap
4	Sun. Oct. 3	1:00pm	Cincinnati Bengals	W 28–17	3–1	Heinz Field	Recap
5	Sun. Oct. 10	1:00pm	Cleveland Browns	W 34–23	4–1	Heinz Field	Recap
6	Sun. Oct. 17	4:15pm	at Dallas Cowboys	W 24–20	5–1	Texas Stadium	Recap
7	Sun. Oct. 24	Bye Week	Bye Week	Bye Week	Bye Week	Bye Week	Bye Week
8	Sun. Oct. 31	4:15pm	New England Patriots	W 34–20	6–1	Heinz Field	Recap
9	Sun. Nov. 7	1:00pm	Philadelphia Eagles	W 27–3	7–1	Heinz Field	Recap
10	Sun. Nov. 14	1:00pm	at Cleveland Browns	W 24–10	8–1	Cleveland Browns Stadium	Recap
11	Sun. Nov. 21	1:00pm	at Cincinnati Bengals	W 19–14	9–1	Paul Brown Stadium	Recap
12	Sun. Nov. 28	1:00pm	Washington Redskins	W 16–7	10–1	Heinz Field	Recap
13	Sun. Dec. 5	8:30pm	at Jacksonville Jaguars	W 17–16	11–1	Alltel Stadium	Recap
14	Sun. Dec. 12	4:05pm	New York Jets	W 17–6	12–1	Heinz Field	Recap
15	Sat. Dec. 18	1:30pm	at New York Giants	W 33–30	13–1	Giants Stadium	Recap
16	Sun. Dec. 26	1:00pm	Baltimore Ravens	W 20–7	14–1	Heinz Field	Recap
17	Sun. Jan. 2	1:00pm	at Buffalo Bills	W 29–24	15–1	Ralph Wilson Stadium	Recap
