Date	Episode	Performer 1	Performer 2	Performer 3	Performer 4
28 July 1995	1	Greg Proops	Colin Mochrie	Niall Ashdown	Ryan Stiles
4 August 1995	2	Greg Proops	Mike McShane	Ryan Stiles	Tony Slattery
11 August 1995	3	Stephen Frost	Colin Mochrie	Ryan Stiles	Tony Slattery
18 August 1995	4	Colin Mochrie	Ryan Stiles	Caroline Quentin	Tony Slattery
25 August 1995	5	Greg Proops	Mike McShane	Ryan Stiles	Tony Slattery
1 September 1995	6	Mike McShane	Colin Mochrie	Ryan Stiles	Tony Slattery
8 September 1995	7	Stephen Frost	Eddie Izzard	Greg Proops	Ryan Stiles
15 September 1995	8	Stephen Frost	Josie Lawrence	Colin Mochrie	Ryan Stiles
22 September 1995	9	Josie Lawrence	Caroline Quentin	Colin Mochrie	Ryan Stiles
29 September 1995	10	Stephen Frost	Josie Lawrence	Colin Mochrie	Ryan Stiles
6 October 1995	11	Compilation 1	Compilation 1	Compilation 1	Compilation 1
13 October 1995	12	Compilation 2	Compilation 2	Compilation 2	Compilation 2
