CERCLIS ID	Name	County	Proposed	Listed	Construction completed	Partially deleted	Deleted
AL6210020008	Alabama Army Ammunition Plant	Talladega	10/15/1984	07/22/1987	–	–	–
ALD004022448	Alabama Plating Company	Shelby	08/24/2000	09/18/2012	–	–	–
ALD981868466	American Brass	Henry	01/19/1999	05/10/1999	09/01/2009	–	–
AL3210020027	Anniston Army Depot (SE Industrial Area)	Calhoun	10/15/1984	03/13/1989	–	–	–
AL0001058056	Capitol City Plume	Montgomery	05/11/2000	–	–	–	–
ALD001221902	Ciba-Geigy Corp. ( McIntosh Plant)	Washington	09/08/1983	09/21/1984	07/19/2000	–	–
ALD041906173	Interstate Lead Company (ILCO)	Jefferson	09/18/1985	06/10/1986	–	–	–
ALD031618069	Mowbray Engineering	Butler	12/30/1982	09/08/1983	09/16/1991	–	12/30/1993
ALD008188708	Olin Corp. ( McIntosh Plant)	Washington	09/08/1983	09/21/1984	–	–	–
ALD980728703	Perdido Ground Water Contamination	Baldwin	12/30/1982	09/08/1983	07/30/1993	–	–
AL7210020742	Redstone Arsenal ( US Army / NASA )	Madison	06/23/1993	05/31/1994	–	–	–
ALD980844385	Redwing Carriers Incorporated (Saraland)	Mobile	06/24/1988	02/21/1990	09/03/2009	–	–
ALD095688875	Stauffer Chemical Company (Cold Creek Plant)	Mobile	09/08/1983	09/21/1984	–	–	–
ALD008161176	Stauffer Chemical Company (LeMoyne Plant)	Mobile	09/08/1983	09/21/1984	–	–	–
ALD007454085	T.H. Agriculture & Nutrition (Montgomery)	Montgomery	06/24/1988	08/30/1990	09/27/2002	–	–
ALD983166299	Triana/Tennessee River	Morgan , Limestone , and Madison	12/30/1982	09/08/1983	12/18/1991	–	–
