Model	Chassis code	Production time	Number built	Engine
250S	W108.012	07/65 - 03/69	74.677	2.5L M108 I6
250SE	W108.014	08/65 - 01/68	55.181	2.5L M129 I6
300SEb	W108.015	08/65 - 12/67	2.737	3.0L M189 I6
280S	W108.016	11/67 - 09/72	93.666	2.8L M130 I6
280SE	W108.018	11/67 - 09/72	91.051	2.8L M130 I6
280SEL	W108.019	01/68 - 04/71	8.250	2.8L M130 I6
280SE 3.5	W108.057	07/70 - 09/72	11.309	3.5L M116 V8
280SEL 3.5	W108.058	06/70 - 08/72	951	3.5L M116 V8
280SE 4.5	W108.067	04/71 - 11/72	13.527	4.5L M117 V8
280SEL 4.5	W108.068	05/71 - 11/72	8.173	4.5L M117 V8
