Date	Visitor	Score	Home	Leading scorer	Attendance	Record
November 1	Detroit	91–80	Miami	Ricky Davis (23)	19,600	0–1
November 2	Miami	85–87	Indiana	Daequan Cook (17)	12,887	0–2
November 4	Charlotte	90–88	Miami	Udonis Haslem (18)	19,600	0–3
November 7	Miami	78–88	San Antonio	Shaquille O'Neal (17)	17,503	0–4
November 9	Phoenix	106–101	Miami	Shaquille O'Neal (25)	19,600	0–5
November 11	Miami	75–72	New York	Udonis Haslem (16)	19,763	1–5
November 13	Miami	76–91	Charlotte	Shaquille O'Neal (17)	12,169	1–6
November 14	Seattle	104–95	Miami	Ricky Davis (19)	19,600	1–7
November 16	Miami	91–92	Boston	Dwyane Wade (23)	18,624	1–8
November 17	Miami	91–87	New Jersey	Dwyane Wade (23)	16,797	2–8
November 21	Atlanta	82–79	Miami	Shaquille O'Neal (18)	19,600	2–9
November 23	Houston	91–98	Miami	Dwyane Wade (31)	19,600	3–9
November 24	Miami	99–120	Orlando	Dwyane Wade (32)	17,519	3–10
November 27	Charlotte	90–110	Miami	Ricky Davis (23)	19,600	4–10
November 30	Boston	95–85	Miami	Jason Williams (22)	19,600	4–11
