Game	January	Opponent	Score	Record
40	2	Hartford Whalers	5 - 4	21-14-5
41	4	Washington Capitals	3 - 3 OT	21-14-6
42	7	@ New York Islanders	5 - 1	22-14-6
43	9	New Jersey Devils	5 - 4	22-15-6
44	14	@ Pittsburgh Penguins	4 - 4 OT	22-15-7
45	15	Pittsburgh Penguins	6 - 4	23-15-7
46	18	@ Chicago Blackhawks	6 - 4	24-15-7
47	19	@ St. Louis Blues	5 - 0	25-15-7
48	21	@ Vancouver Canucks	5 - 4 OT	26-15-7
49	23	@ Edmonton Oilers	3 - 2	27-15-7
50	26	@ Calgary Flames	5 - 3	27-16-7
51	28	@ Toronto Maple Leafs	1 - 1 OT	27-16-8
52	30	New York Islanders	7 - 3	28-16-8
