Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
4	November 3	Memphis	W 115–109 (OT)	Monta Ellis (39)	David Lee (16)	Monta Ellis , Reggie Williams (8)	Oracle Arena 16,607	3–1
5	November 5	Utah	W 85–78 (OT)	Monta Ellis (23)	Andris Biedriņš (20)	Stephen Curry (6)	Oracle Arena 17,902	4–1
6	November 7	@ Detroit	L 97–102 (OT)	Monta Ellis (24)	Andris Biedriņš (13)	Stephen Curry (6)	The Palace of Auburn Hills 12,813	4–2
7	November 8	@ Toronto	W 109–102 (OT)	Stephen Curry (34)	David Lee (12)	Stephen Curry (4)	Air Canada Centre 14,127	5–2
8	November 10	@ New York	W 122–117 (OT)	David Lee (28)	David Lee (10)	Stephen Curry (8)	Madison Square Garden 19,763	6–2
9	November 11	@ Chicago	L 90–120 (OT)	Monta Ellis (24)	Dorell Wright (8)	Stephen Curry (6)	United Center 21,140	6–3
10	November 13	@ Milwaukee	L 72–79 (OT)	Monta Ellis (24)	Andris Biedriņš (9)	Monta Ellis (8)	Bradley Center 17,049	6–4
11	November 15	Detroit	W 101–97 (OT)	Monta Ellis (27)	Dan Gadzuric (11)	Dorell Wright (6)	Oracle Arena 19,123	7–4
12	November 19	New York	L 119–125 (OT)	Monta Ellis (40)	Andris Biedriņš (8)	Stephen Curry (8)	Oracle Arena 19,808	7–5
13	November 21	@ L.A. Lakers	L 89–117 (OT)	Dorell Wright (16)	Jeff Adrien (10)	Charlie Bell , Monta Ellis (3)	Staples Center 18,997	7–6
14	November 22	Denver	L 89–106 (OT)	Monta Ellis (20)	Dan Gadzuric (11)	Stephen Curry (5)	Oracle Arena 18,023	7–7
15	November 24	@ Houston	L 101–111 (OT)	Dorell Wright (24)	Andris Biedriņš (10)	Stephen Curry (6)	Toyota Center 13,847	7–8
16	November 26	@ Memphis	L 111–116 (OT)	Andris Biedriņš (28)	Andris Biedriņš (21)	Monta Ellis , Dorell Wright (8)	FedExForum 14,753	7–9
17	November 27	@ Minnesota	W 104–94 (OT)	Dorell Wright (30)	Andris Biedriņš (12)	Monta Ellis (10)	Target Center 14,440	8–9
