Name	Games	A-League	Finals	Goals	Assists	Years
Adrian Caceres	47 (23)	40 (22)	2 (0)	6	9	2006/07 - 07/08
Adrian Leijer	153 (1)	133 (1)	9 (0)	7	4	2005/06 - 06/07, 2009/2010 - present
Alessandro	16 (9)	16 (9)	0 (0)	0	2	2006/07
Andy Vlahos	18 (6)	18 (6)	0 (0)	0	0	2005/06
Antun Kovacic	2 (2)	2 (2)	0 (0)	0	0	2006/07
Archie Thompson	170 (9)	149 (5)	11 (2)	70	47	2005/06 - present
Aziz Behich	5 (4)	4 (4)	1 (1)	0	0	2009/10
Billy Celeski	101 (16)	86 (12)	6 (1)	2	11	2008 - present
Carl Recchia	12 (2)	12 (2)	0 (0)	0	1	2005/06
Carlos Hernández	134 (16)	114 (11)	7 (1)	38	30	2007/08 - 2011/2012
Chris Tadrosse	8 (0)	8 (0)	0 (0)	0	0	2005/06
Claudinho	5 (4)	5 (4)	0 (0)	1	0	2006/07
Daniel Allsopp	129 (17)	111 (16)	7 (0)	46	15	2005/06 - 2009, 2010/2011 - 2012
Daniel Piorkowski	30 (1)	30 (1)	0 (0)	0	0	2005/06 - 07/08
Daniel Vasilevski	14 (5)	12 (3)	0( 0)	0	0	2007/08 - 2008/09
Diogo Ferreira	61 (18)	52 (14)	1( 0)	3	1	2009/10 - 2012/14
Evan Berger	51 (24)	38 (14)	5 (5)	0	2	2007/08 - 2010/11
Fabio	23 (0)	23 (0)	3 (0)	1	3	2011/12
Harry Kewell	24 (0)	24 (0)	0 (0)	8	5	2011/12
Fred	17 (0)	14 (0)	3 (0)	4	9	2006/07
Geoffrey Claeys	16 (0)	16 (0)	0 (0)	0	0	2005/06
Geoff Kellaway	9 (8)	9 (8)	0 (0)	0	1	2010/11
Grant Brebner	127 (26)	112 (23)	9 (3)	6	7	2006/07 - 2011/12
Isaka Cernak	28 (13)	24 (13)	0 (0)	1	2	2011 - 2012/13
James Jeggo	18 (9)	18 (9)	0 (0)	1	2	2011/12 - Present
James Robinson	7 (6)	5 (4)	2 (2)	1	1	2006/07
Jean Carlos Solórzano	14 (10)	14 (10)	3 (0)	0	0	2011/12
Joe Keenan	12 (2)	12 (2)	0 (0)	0	1	2007/08
José Luis López	18 (8)	15 (5)	3 (3)	0	0	2008/09
Julius Davies	2 (2)	2 (0)	0 (0)	0	0	2011/12 - 2012/13
Kaz Patafta	18 (15)	14 (12)	0 (0)	1	0	2007/08
Kevin Muscat	138 (0)	113 (0)	9 (0)	34	11	2005/06 - 2010/11
Kristian Sarkies	34 (13)	33 (12)	1 (1)	3	0	2005/06 - 06/07
Leandro Love	16 (9)	15 (8)	0 (0)	0	0	2007/08
Leigh Broxham	143(39)	124 (37)	6 (1)	2	2	2006/07 - present
Ljubo Milicevic	2 (0)	2 (0)	0 (0)	0	0	2007/08
Luke Pilkington	5 (5)	3 (3)	0 (0)	0	0	2009/10 - 2010/11
Marco Rojas	51 (7)	49 (7)	5 (0)	14	10	2011/12 - 2012/13
Mark Byrnes	19 (4)	18 (3)	1 (0)	1	0	2005/06 - 06/07
Mark Milligan	32 (0)	30 (0)	2 (0)	10	2	2011/12 - Present
Marvin Angulo	46 (20)	33 (13)	4 (3)	0	3	2009/10 - 2010/11
Mate Dugandžić	40 (22)	36 (19)	1 (0)	8	2	2009/10 - 2010/11
Matthew Foschini	52 (10)	41 (7)	1 (1)	0	0	2009/10 - 2012/13
Matthew Kemp	87 (7)	76 (7)	3 (0)	2	4	2007/08 - 2011/2012
Michael Ferrante	29 (6)	29 (6)	0 (0)	1	1	2005/06 - 06/07
Michael Thwaite	16 (1)	16 (1)	0 (0)	0	0	2008/09
Ney Fabiano	30 (13)	29 (12)	1 (1)	6	5	2008/09 - 2009/10
Nick Ward	58 (17)	40 (16)	6 (0)	5	8	2007/08 - 2010/11
Nik Mrdja	8 (2)	2 (1)	1 (0)	1	0	2009/10
Nathan Elasi	8 (7)	7 (7)	0 (0)	0	1	2008 - 2009/10
Petar Franjic	38 (5)	37 (5)	1 (0)	0	0	2010/11 - 2012/13
Ramazan Tavsancioglu	4 (2)	4 (2)	0 (0)	0	0	2005/06
Richard Kitzbichler	18 (2)	18 (2)	0 (0)	5	2	2005/06
Ricardinho	19 (8)	19 (8)	0 (0)	2	0	2010/11
Ricky Diaco	13 (11)	13 (11)	0 (0)	1	1	2005/06
Robbie Kruse	47 (4)	36 (3)	3 (0)	16	6	2009/10 - 2010/11
Rodrigo Vargas	153 (1)	139 (1)	10 (0)	9	5	2006/07 - 2011/2012
Sebastian Ryall	30 (7)	21 (5)	3 (0)	0	0	2007/08 - 2008/09
Simon Storey	32 (4)	29 (4)	3 (0)	0	1	2005/06 - 06/07
Steve Pantelidis	58 (9)	50 (7)	3 (0)	0	0	2005/06 - 2008/09
Steven Pace	10 (5)	8 (5)	0 (0)	0	0	2007/08 - 2009/10
Surat Sukha	43 (6)	29 (4)	4 (0)	0	0	2009/10 - 2011/12
Sutee Suksomkit	9 (5)	9 (5)	0 (0)	0	1	2009/10
Tom Pondeljak	86 (17)	69 (16)	6 (0)	9	9	2008 - 2011/2012
Ubay Luzardo	7 (0)	7 (0)	0 (0)	0	0	2011/12
