Year	Competition	Date	Location	Score	Result
1995	World Group I , 1st round	22–23 April	Sofia (BUL)	2–3	Loss
1995	World Group I, Play-offs	22–23 July	Bloemfontein (RSA)	0–5	Loss
1996	World Group II , 1st round	27–28 April	Plovdiv (BUL)	0–5	Loss
1996	World Group II, Play-offs	13–14 July	Plovdiv (BUL)	1–4	Loss
1997	Europe/Africa Group I , Round Robin	23 April	Bari (ITA)	1–2	Loss
1997	Europe/Africa Group I, Round Robin	24 April	Bari (ITA)	1–2	Loss
1998	Europe/Africa Group I , Round Robin	14 April	Murcia (ESP)	1–2	Loss
1998	Europe/Africa Group I, Round Robin	15 April	Murcia (ESP)	1–2	Loss
1998	Europe/Africa Group I, Round Robin	16 April	Murcia (ESP)	1–2	Loss
1999	Europe/Africa Group I , Round Robin	19 April	Murcia (ESP)	3–0	Win
1999	Europe/Africa Group I, Round Robin	20 April	Murcia (ESP)	3–0	Win
1999	Europe/Africa Group I, Round Robin	21 April	Murcia (ESP)	1–2	Loss
1999	Europe/Africa Group I, Play-Off	22 April	Murcia (ESP)	1–2	Loss
