Week	Date	Opponent	Result	Attendance
1	September 1, 1996	at St. Louis Rams	L 26–16	62,659
2	September 8, 1996	at San Diego Chargers	L 27–14	55,880
3	September 15, 1996	New Orleans Saints	W 30–15	45,412
4	Bye	Bye	Bye	Bye
5	September 29, 1996	Denver Broncos	L 14–10	51,798
6	October 6, 1996	Houston Oilers	L 30–27	44,680
7	October 13, 1996	at Pittsburgh Steelers	L 20–10	58,875
8	October 20, 1996	at San Francisco 49ers	L 28–21	63,218
9	October 27, 1996	Jacksonville Jaguars	W 28–21	45,890
10	November 3, 1996	at Baltimore Ravens	W 24–21	60,743
11	November 10, 1996	Pittsburgh Steelers	W 34–24	57,265
12	November 17, 1996	at Buffalo Bills	L 31–17	75,549
13	November 24, 1996	Atlanta Falcons	W 41–31	44,868
14	December 1, 1996	at Jacksonville Jaguars	L 30–27	57,408
15	December 8, 1996	Baltimore Ravens	W 21–14	43,022
16	December 15, 1996	at Houston Oilers	W 21–13	15,131
17	December 22, 1996	Indianapolis Colts	W 31–24	49,389
