Date	Opponent	Score	Loss	Attendance	Record
April 6	California Angels	0-7	Segui (0-1)	57,762	0-1
April 7	California Angels	0-2	Romo (0-1)	10,144	0-2
April 8	California Angels	7-6	Verhoeven (0-1)	11,845	1-2
April 9	California Angels	5-1	Simpson (0-1)	27,668	2-2
April 10	California Angels	5-12	Abbott (0-1)	10,405	2-3
April 11	Minnesota Twins	3-12	Segui (0-2)	8,979	2-4
April 12	Minnesota Twins	2-3	Laxton (1-1)	8,589	2-5
April 13	Minnesota Twins	3-2	Burgmeier (0-1)	11,635	3-5
April 14	Minnesota Twins	4-3	Redfern (0-2)	9,167	4-5
April 15	@ California Angels	0-7	Abbott (0-2)	34,654	4-6
April 16	@ California Angels	4-6	Montague (0-1)	19,690	4-7
April 17	@ California Angels	11-7	Monge (0-1)	13,813	5-7
April 18	Texas Rangers	8-6	Alexander (1-1)	9,535	6-7
April 19	Texas Rangers	1-3	Wheelock (2-1)	10,947	6-8
April 20	Texas Rangers	2-5	Montague (0-2)	10,763	6-9
April 22	Kansas City Royals	5-6	Pagan (0-1)	19,756	6-10
April 23	Kansas City Royals	6-8	Segui (0-3)	22,685	6-11
April 24	Kansas City Royals	1-16	Wheelock (2-2)	DH	6-12
April 24	Kansas City Royals	4-2	Splittorff (1-1)	21,734	7-12
April 26	@ Minnesota Twins	3-5	Thomas (1-1)	3,422	7-13
April 27	@ Minnesota Twins	3-5	Moore (1-1)	3,170	7-14
April 28	@ Minnesota Twins	4-3	Goltz (0-2)	3,766	8-14
April 29	@ New York Yankees	0-3	Thomas (1-2)	15,284	8-15
April 30	@ New York Yankees	2-7	Wheelock (2-3)	19,525	8-16
