Vol. #	Title	Material collected	Publication date	ISBN
1	Justice Be Done	JSA #1-5; JSA Secret Files #1	April 2000	978-1563896200
2	Darkness Falls	JSA #6-15	August 2002	978-1563897399
3	Return of Hawkman	JSA #16-25; JSA Secret Files #1	November 2002	978-1563899126
4	Fair Play	JSA #26-31; JSA Secret Files #2	May 2003	978-1563899591
5	Stealing Thunder	JSA #32-38	October 2003	978-1563899942
6	Savage Times	JSA #39-45	November 2004	978-1401202538
7	Princes of Darkness	JSA #46-55	March 2005	978-1401204693
8	Black Reign	JSA #56-58; Hawkman Vol. 4 #23-25	July 2005	978-1401204808
9	Lost	JSA #59-67	September 2005	978-1401207229
10	Black Vengeance	JSA #68-75	March 2006	978-1401209667
11	Mixed Signals	JSA #76-81	September 2006	978-1401209674
12	Ghost Stories	JSA #82-87	January 2007	978-1401211967
