Pick #	Brand (to)	Employee (Real name)	Role	Brand (from)
12	ECW	Mark Henry	Male wrestler	SmackDown
13	Raw	Jamie Noble ( James Gibson )	Male wrestler	SmackDown
14	SmackDown	Trevor Murdoch ( William Mueller )	Male wrestler	Raw
15	SmackDown	Big Daddy V ( Nelson Frazier, Jr. )	Male wrestler	ECW
16	Raw	Deuce ( Jimmy Reiher, Jr. )	Male wrestler	SmackDown
17	SmackDown	DH Smith (Harry Smith )	Male wrestler	Raw
18	ECW	Hornswoggle ( Dylan Postl )	Male wrestler	SmackDown
19	ECW	Super Crazy ( Francisco Islas )	Male wrestler	Raw
20	Raw	Chuck Palumbo	Male wrestler	SmackDown
21	SmackDown	Brian Kendrick	Male wrestler	Raw
22	Raw	Matt Striker ( Matthew Kaye )	Male wrestler	ECW
23	SmackDown	Maria ( Maria Kanellis )	Diva	Raw
24	SmackDown	Shelton Benjamin	Male wrestler	ECW
25	ECW	Finlay ( Dave Finlay )	Male wrestler	SmackDown
26	SmackDown	Carlito ( Carly Colón )	Male wrestler	Raw
27	Raw	Layla ( Layla El )	Diva	ECW
28	Raw	Kofi Kingston ( Kofi Sarkodie-Mensah )	Male wrestler	ECW
