Season	Season premiere	Season finale	TV season	Rank	Viewers (in millions)
1	September 22, 1994	May 18, 1995	1994–95	#8	24.3 /24.8
2	September 21, 1995	May 16, 1996	1995–96	#3	29.4 /31.7
3	September 19, 1996	May 15, 1997	1996–97	#4	25.0 /26.3
4	September 25, 1997	May 7, 1998	1997–98	#4	24.1 /25.0
5	September 24, 1998	May 20, 1999	1998–99	#2	23.5 /24.7
6	September 23, 1999	May 18, 2000	1999–2000	#5	20.7 /22.6
7	October 12, 2000	May 17, 2001	2000–01	#4	20.2 /22.1
8	September 27, 2001	May 16, 2002	2001–02	#1	24.5 /26.7
9	September 26, 2002	May 15, 2003	2002–03	#3	21.6 /24.0
10	September 25, 2003	May 6, 2004	2003–04	#5	22.8 /26.9
