Party	Name in English	City	Province	Date of registration
Partido Obrero y Campesino	Workers and Peasants Party	Madrid	Madrid	1979-01-02
Lliga Liberal Catalana	Catalan Liberal League	Barcelona	Barcelona	1979-01-05
Partido del País Canario	Party of the Canarian Country	Las Palmas	Las Palmas	1979-01-05
Unión del Pueblo Navarro	Navarre People's Union	Pamplona	Navarre	1979-01-05
Independientes de Cataluña	Independents of Catalonia	Barcelona	Barcelona	1979-01-10
Unión para la Libertad de Expresión	Union for the Freedom of Expression	Madrid	Madrid	1979-01-10
Partido Social-Cristiano de Asturias	Social-Christian Party of Asturias	Oviedo	Asturias	1979-01-11
Bloc Català de Treballadors	Catalan Workers Bloc	Barcelona	Barcelona	1979-01-13
Unión Socialista Obrera Canaria	Canarian Workers Socialist Union	Santa Cruz de Tenerife	Santa Cruz de Tenerife	1979-01-13
Organización de Profesionales de España	Organization of Professionals of Spain	Madrid	Madrid	1979-01-16
Falange Española Auténtica	Authentic Spanish Falange	Madrid	Madrid	1979-01-17
Partido Regionalista de Cantabria	Regionalist Party of Cantabria	Santander	Cantabria	1979-01-18
Conceyu Nacionalista Astur	Asturian Nationalist Council	Mieres	Asturias	1979-01-19
Partido Comunista de Canarias	Communist Party of the Canaries	Las Palmas	Las Palmas	1979-01-26
Pueblo Canario Unido	United Canarian People	Las Palmas	Las Palmas	1979-01-26
Partido Social Democráta	Social Democratic Party	Madrid	Madrid	1979-04-19
Partido de El Bierzo	El Bierzo Party	Ponferrada	León	1979-04-23
Joventut Republicana de Lleida	Republican Youth of Lleida	Lleida	Lleida	1979-04-27
Partido Socialista del Pueblo Extremeño	Socialist Party of the Extremadurian People	Badajoz	Badajoz	1979-05-04
Izquierda Democrática de Extremadura	Democratic Left of Extremadura	Badajoz	Badajoz	1979-05-11
Confederación Rural Española	Spanish Rural Confederation	Madrid	Madrid	1979-06-07
Centro Andaluz - Partido de Andalucía	Andalusian Centre - Party of Andalusia	Seville	Seville	1979-07-12
Juventudes Nacional Revolucionarias	Revolutionary National Youth	Madrid	Madrid	1979-07-17
Partido de la Revolución Canaria	Party of the Canarian Revolution	Las Palmas	Las Palmas	1979-07-17
Partit Liberal del País Valencià	Liberal Party of the Valencian Country	Torrent	Valencia	1979-07-17
Unión Castellano-Manchega	Castilan-Manchean Union	Madrid	Madrid	1979-07-19
Partido Radical	Radical Party	Madrid	Madrid	1979-07-20
Frente para la Unidad Falangista	Front for Falangist Unity	Madrid	Madrid	1979-07-23
Partido de los Trabajadores de España	Workers Party of Spain	Madrid	Madrid	1979-07-24
Asociación de Ciudadanos de la Mayoría Silenciosa	Citizens Association of the Silent Majority	Granada	Granada	1979-07-30
Partido Socialista de Asturias	Socialist Party of Asturias	Oviedo	Asturias	1979-07-30
Centristas de Catalunya	Centrists of Catalonia	Barcelona	Barcelona	1979-12-20
