Week	Date	Opponent	Result	Record	Game site
1	March 31, 2007	Manchester Wolves	W 50–36	1–0	Wachovia Arena
2	Bye	Bye	Bye	Bye	Bye
3	April 14, 2007	Albany Conquest	W 52–43	2–0	Wachovia Arena
4	April 21, 2007	Florida Firecats	W 58–36	3–0	Germain Arena
5	April 28, 2007	Cincinnati Jungle Kats	W 94–25	4–0	Wachovia Arena
6	May 4, 2007	Manchester Wolves	W 59–42	5–0	Verizon Wireless Arena
7	May 12, 2007	Mahoning Valley Thunder	W 56–26	6–0	Chevrolet Centre
8	May 19, 2007	Tennessee Valley Vipers	W 34–30	7–0	Von Braun Center
9	May 25, 2007	Albany Conquest	W 71–46	8–0	Wachovia Arena
10	Bye	Bye	Bye	Bye	Bye
11	June 9, 2007	South Georgia Wildcats	W 40–62	9–0	Albany Civic Center
12	June 16, 2007	Alabama Steeldogs	W 77–62	10–0	Wachovia Arena
13	June 22, 2007	Quad City Steamwheelers	W 62–55	11–1	i wireless Center
14	June 30, 2007	Mahoning Valley Thunder	W 51–40	12–0	Wachovia Arena
15	July 7, 2007	Fort Wayne Fusion	W 48–47	13–0	Allen County War Memorial Coliseum
16	July 13, 2007	Manchester Wolves	L 49–46	13–1	Verizon Wireless Arena
17	July 21, 2007	Bossier–Shreveport Battle Wings	W 50–28	14–1	CenturyTel Center
18	July 27, 2007	Albany Conquest	L 56–42	14–2	Times Union Center
