Delegate	Interview	Swimsuit	Evening Gown	Average
USA	8.155 (1)	7.855 (1)	7.482 (2)	7.831 (1)
Sweden	7.518 (2)	7.300 (2)	7.355 (3)	7.391 (2)
Spain	6.500 (5)	6.870 (3)	7.545 (1)	6.972 (3)
South Africa	6.791 (3)	6.590 (4)	6.373 (5)	6.685 (4)
Colombia	6.645 (4)	6.282 (6)	6.545 (4)	6.491 (5)
Belgium	6.230 (6)	6.364 (5)	5.709 (6)	6.101 (6)
Chile	5.703 (7)	5.064 (7)	4.536 (9)	4.891 (7)
Israel	5.260 (9)	4.280 (8)	4.945 (7)	4.828 (8)
Mexico	5.320 (8)	3.260 (11)	4.145 (10)	4.242 (9)
Ireland	3.889 (12)	3.800 (9)	4.756 (8)	4.148 (10)
Peru	4.422 (10)	3.718 (10)	3.573 (11)	3.904 (11)
