Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds	Free Practice driver(s)
Scuderia Ferrari Marlboro	Ferrari	F2002 F2003-GA	Ferrari 051 Ferrari 052	B	Michael Schumacher	All	N/A
Scuderia Ferrari Marlboro	Ferrari	F2002 F2003-GA	Ferrari 051 Ferrari 052	B	Rubens Barrichello	All	N/A
BMW WilliamsF1 Team	Williams - BMW	FW25	BMW P83	M	Juan Pablo Montoya	All	N/A
BMW WilliamsF1 Team	Williams - BMW	FW25	BMW P83	M	Ralf Schumacher	1–13, 15–16	N/A
BMW WilliamsF1 Team	Williams - BMW	FW25	BMW P83	M	Marc Gené	14	N/A
West McLaren Mercedes	McLaren - Mercedes	MP4-17D	Mercedes FO110M Mercedes FO110P	M	David Coulthard	All	N/A
West McLaren Mercedes	McLaren - Mercedes	MP4-17D	Mercedes FO110M Mercedes FO110P	M	Kimi Räikkönen	All	N/A
Mild Seven Renault F1 Team	Renault	R23 R23B	Renault RS23	M	Jarno Trulli	All	Allan McNish Franck Montagny
Mild Seven Renault F1 Team	Renault	R23 R23B	Renault RS23	M	Fernando Alonso	All	Allan McNish Franck Montagny
Sauber Petronas	Sauber - Petronas	C22	Petronas 03A	B	Nick Heidfeld	All	N/A
Sauber Petronas	Sauber - Petronas	C22	Petronas 03A	B	Heinz-Harald Frentzen	All	N/A
Jordan Ford	Jordan - Ford	EJ13	Ford RS1	B	Giancarlo Fisichella	All	Zsolt Baumgartner Björn Wirdheim Satoshi Motoyama
Jordan Ford	Jordan - Ford	EJ13	Ford RS1	B	Ralph Firman	1–12, 15–16	Zsolt Baumgartner Björn Wirdheim Satoshi Motoyama
Jordan Ford	Jordan - Ford	EJ13	Ford RS1	B	Zsolt Baumgartner	13–14	Zsolt Baumgartner Björn Wirdheim Satoshi Motoyama
Jaguar Racing	Jaguar - Cosworth	R4	Cosworth CR-5	M	Mark Webber	All	N/A
Jaguar Racing	Jaguar - Cosworth	R4	Cosworth CR-5	M	Antônio Pizzonia	1–11	N/A
Jaguar Racing	Jaguar - Cosworth	R4	Cosworth CR-5	M	Justin Wilson	12–16	N/A
Lucky Strike BAR Honda	BAR - Honda	005	Honda RA003E	B	Jacques Villeneuve	1–15	N/A
Lucky Strike BAR Honda	BAR - Honda	005	Honda RA003E	B	Takuma Sato	16	N/A
Lucky Strike BAR Honda	BAR - Honda	005	Honda RA003E	B	Jenson Button	All	N/A
European Minardi Cosworth	Minardi - Cosworth	PS03	Cosworth CR-3	B	Justin Wilson	1–11	Matteo Bobbi Gianmaria Bruni
European Minardi Cosworth	Minardi - Cosworth	PS03	Cosworth CR-3	B	Nicolas Kiesa	12–16	Matteo Bobbi Gianmaria Bruni
European Minardi Cosworth	Minardi - Cosworth	PS03	Cosworth CR-3	B	Jos Verstappen	All	Matteo Bobbi Gianmaria Bruni
Panasonic Toyota Racing	Toyota	TF103	Toyota RVX-03	M	Olivier Panis	All	N/A
Panasonic Toyota Racing	Toyota	TF103	Toyota RVX-03	M	Cristiano da Matta	All	N/A
