Call sign	Analog channel	Digital channel	Virtual channel	Network	Station Ownership
KTCA	none	34	2.1	PBS -tpt	Twin Cities Public Television
KTCA	none	34	2.2	PBS -tptMN	Twin Cities Public Television
KTCI	none	23	2.3	PBS -tptLife	Twin Cities Public Television
KTCA	none	34	2.4	PBS -tptWx	Twin Cities Public Television
WCCO	none	32	4.1	CBS	CBS Television Stations
KSTP	none	35	5.1	ABC	Hubbard Broadcasting
KSTC	none	45	5.2	Independent	Hubbard Broadcasting
KSTC	none	45	5.3	MeTV	Hubbard Broadcasting
KSTC	none	45	5.4	AntennaTV	Hubbard Broadcasting
KSTC	none	45	5.6	ThisTV	Hubbard Broadcasting
KSTP	none	35	5.7	LiveWell	Hubbard Broadcasting
KMSP	none	9	9.1	Fox	FOX Television Stations
WFTC	none	29	9.2	MyNetworkTV /WFTC	FOX Television Stations
KMSP	none	9	9.3	The Local AccuWeather Channel	FOX Television Stations
KARE	none	11	11.1	NBC	Gannett Company
KARE	none	11	11.2	WeatherNation TV	Gannett Company
WUMN-LP	13	none	N/A	Univision	Silver Point Capital
K16HY-LD	none	16	16.1	Local Catholic-Text	St. Michael Broadcasting
K16HY-LD	none	16	16.2	EWTN	St. Michael Broadcasting
K16HY-LD	none	16	16.3	Local Catholic	St. Michael Broadcasting
K16HY-LD	none	16	16.4	EWTN	St. Michael Broadcasting
K16HY-LD	none	16	16.5	EWTN	St. Michael Broadcasting
K19BG-LD St. Cloud/Buffalo	silent	19CP	19	RTV	Luken Communications
WUCW	none	22	23.1	CW	Sinclair Broadcast Group
WUCW	none	22	23.2	TheCoolTV	Sinclair Broadcast Group
WUCW	none	22	23.3	The Country Network	Sinclair Broadcast Group
KTCI	none	23	23.7~*	PBS -tptMN	Twin Cities Public Television
K25IA-LD	none	25	25.1	TBN	Regal Media
K25IA-LD	none	25	25.2	The Church Channel	Regal Media
K25IA-LD	none	25	25.3	JCTV	Regal Media
K25IA-LD	none	25	25.4	Smile Of A Child	Regal Media
K25IA-LD	none	25	25.5	TBN Enlace	Regal Media
W47CO-LD River Falls, Wisc.	none	47	28.1	PBS /WHWC	Wisconsin Public Television
W47CO-LD River Falls, Wisc.	none	47	28.2	PBS -WISC/WHWC	Wisconsin Public Television
W47CO-LD River Falls, Wisc.	none	47	28.3	PBS -Create/WHWC	Wisconsin Public Television
WFTC	none	29	29.1	MyNetworkTV	FOX Television Stations
KMSP	none	9	29.2	MyNetworkTV /WFTC	FOX Television Stations
WFTC	none	29	29.3	Bounce TV	FOX Television Stations
WFTC	none	29	29.4	Movies!	FOX Television Stations
K33LN-LD	none	33	33.1	3ABN	Three Angels Broadcasting Network
K33LN-LD	none	33	33.2	3ABN Proclaim!	Three Angels Broadcasting Network
K33LN-LD	none	33	33.3	3ABN Dare to Dream	Three Angels Broadcasting Network
K33LN-LD	none	33	33.4	3ABN Latino	Three Angels Broadcasting Network
K33LN-LD	none	33	33.5	3ABN Radio-Audio	Three Angels Broadcasting Network
K33LN-LD	none	33	33.6	3ABN Radio Latino-Audio	Three Angels Broadcasting Network
K33LN-LD	none	33	33.7	Radio 74-Audio	Three Angels Broadcasting Network
KPXM-TV	none	40	41.1	Ion Television	Ion Media Networks
KPXM-TV	none	40	41.2	Qubo Kids	Ion Media Networks
KPXM-TV	none	40	41.3	Ion Life	Ion Media Networks
K43HB-LD	none	43	43.1	HSN	Ventana Television
KHVM-LD	none	48	48.1	GCN - Religious	EICB TV
KTCJ-LD	none	50	50.1	CTVN - Religious	EICB TV
WDMI-LD	none	31	62.1	Daystar	Word of God Fellowship
