Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
62	March 1	Denver	W 100–94 (OT)	Jarrett Jack (28)	Troy Murphy (18)	Jarrett Jack (8)	Conseco Fieldhouse 12,458	26–36
63	March 3	@ Sacramento	W 117–109 (OT)	Jarrett Jack (26)	Troy Murphy (10)	T. J. Ford (9)	ARCO Arena 10,748	27–36
64	March 4	@ Portland	L 105–107 (OT)	Marquis Daniels (28)	Troy Murphy (13)	T. J. Ford (5)	Rose Garden 20,020	27–37
65	March 7	@ L.A. Clippers	W 106–105 (OT)	Jarrett Jack (25)	Troy Murphy (15)	T. J. Ford (8)	Staples Center 16,518	28–37
66	March 10	Utah	L 100–112 (OT)	Troy Murphy (23)	Troy Murphy (13)	T. J. Ford (9)	Conseco Fieldhouse 13,705	28–38
67	March 13	@ Atlanta	L 87–101 (OT)	T. J. Ford (29)	Troy Murphy (14)	T. J. Ford (5)	Philips Arena 14,079	28–39
68	March 15	@ Toronto	L 87–110 (OT)	Troy Murphy (16)	Troy Murphy (10)	T. J. Ford (6)	Air Canada Centre 18,169	28–40
69	March 18	Portland	L 85–95 (OT)	Danny Granger (35)	Jeff Foster (11)	T. J. Ford (6)	Conseco Fieldhouse 13,072	28–41
70	March 20	Dallas	L 92–94 (OT)	Danny Granger (18)	Danny Granger , Troy Murphy (11)	Danny Granger , Travis Diener (4)	Conseco Fieldhouse 17,232	28–42
71	March 21	@ Charlotte	W 108–83 (OT)	Jarrett Jack (31)	Jarrett Jack (6)	T. J. Ford (6)	Time Warner Cable Arena 15,721	29–42
72	March 25	Miami	W 90–88 (OT)	Danny Granger (28)	Jeff Foster (16)	Jarrett Jack (4)	Conseco Fieldhouse 17,117	30–42
73	March 28	@ Chicago	L 106–112 (OT)	Danny Granger (32)	Jeff Foster (18)	Jarrett Jack (9)	United Center 20,756	30–43
74	March 29	Washington	W 124–115 (OT)	Danny Granger (31)	Brandon Rush (10)	T. J. Ford (10)	Conseco Fieldhouse 13,729	31–43
75	March 31	Chicago	W 107–105 (OT)	Danny Granger (31)	Troy Murphy (12)	T. J. Ford (9)	Conseco Fieldhouse 15,687	32–43
