Name	Date	Goals	Assists	Team	Venue	Opponent	Competition	Total Goals	Total Assists
Ko Jeong-Woon	1998-09-05	42	40	Pohang Steelers	Pohang	Chunnam Dragons	K-League	55	48
Kim Hyun-Seok	1998-10-10	89	40	Ulsan Hyundai Horang-i	Pohang	Pohang Steelers	K-League	110	54
Shin Tae-Yong	2000-09-03	72	40	Seongnam Ilhwa Chunma	Mokdong	Bucheon SK	K-League	99	68
Lee Sang-Yoon	2001-04-29	70	40	Bucheon SK	Bucheon	Daejeon Citizen	K-League Cup	71	43
Roh Sang-Rae	2003-04-27	72	40	Daegu FC	Daegu	Busan I'cons	K-League	76	40
Denis Laktionov	2003-08-27	45	40	Seongnam Ilhwa Chunma	Busan	Busan I'cons	K-League	57	59
Kim Do-Hoon	2005-08-31	113	40	Seongnam Ilhwa Chunma	Seongnam	Incheon United	K-League	114	41
Woo Sung-Yong	2007-10-22	109	40	Ulsan Hyundai Horang-i	Ulsan	Daejeon Citizen	K-League	116	43
Kim Dae-Eui	2010-05-29	51	40	Suwon Samsung Bluewings	Suwon	Gangwon FC	K-League Cup	51	41
Kim Eun-Jung	2010-08-28	91	40	Jeju United	Daejeon	Daejeon Citizen	K-League	119	54
Eninho	2010-11-20	51	40	Jeonbuk Hyundai Motors	Jeonju	Gyeongnam FC	Championship	80	60
Lee Dong-Gook	2011-07-03	109	40	Jeonbuk Hyundai Motors	Jeonju	FC Seoul	K-League	141	53
Mauricio Molina	2012-11-15	49	40	FC Seoul	Seoul	Ulsan Hyundai	K-League	50	42
Hwang Jin-Sung	2012-11-29	40	51	Pohang Steelers	Pohang	FC Seoul	K-League	41	51
