Draw	Language	Artist	Song	English translation	Place	Points
01	Italian	Domenico Modugno	" Nel blu dipinto di blu "	In the blue painted blue	3	13
02	Dutch	Corry Brokken	" Heel de wereld "	The whole world	9	1
03	French	André Claveau	" Dors, mon amour "	Sleep, my love	1	27
04	French	Solange Berry	" Un grand amour "	A great love	9	1
05	Swedish	Alice Babs	" Lilla stjärna "	Little star	4	10
06	Danish	Raquel Rastenni	" Jeg rev et blad ud af min dagbog "	I tore a page out of my diary	8	3
07	French	Fud Leclerc	" Ma petite chatte "	My little sweetie	5	8
08	German	Margot Hielscher	" Für zwei Groschen Musik "	Music for two pennies	7	5
09	German	Liane Augustin	" Die ganze Welt braucht Liebe "	The whole world needs love	5	8
10	German, Italian	Lys Assia	" Giorgio "	—	2	24
