year	total	German	Romanian	Hungarian	other	of which Romanies (Gypsies)
1880	2,743	2,662	12	6	63	0
1900	2,857	2,677	78	50	52	0
1910	2,541	2,355	14	37	135	0
1920	2,456	2,291	0	19	146	0
1930	2,400	2,233	14	14	149	141
1941	2,309	2,108	36	20	145	140
1956	2,559	unknown	unknown	unknown	unknown	unknown
1966	2,672	1,277	1,360	24	19	2
1977	2,658	1,177	1,359	39	143	133
1992	2,265	93	1,964	32	143	141
2006	2,414	> 10	unknown	unknown	unknown	> 200 families
2007	2,469	unknown	unknown	unknown	unknown	unknown
2008	2,501	unknown	unknown	unknown	unknown	unknown
2009	2819	unknown	unknown	unknown	unknown	unknown
