NGC number	Object type	Constellation	Right ascension ( J2000 )	Declination ( J2000 )
5822	Open cluster	Lupus	15h04m	°24′
5823	Open cluster	Circinus	15h05m44.8s	°37′30″
5824	Globular cluster	Lupus	15h03m58.5s	°04′04″
5825	Elliptical galaxy	Boötes	14h54m31.5s	°38′31″
5838	Lenticular galaxy	Virgo	15h05m26.3s	°05′57″
5846	Elliptical galaxy	Virgo	15h06m29.4s	°36′19″
5850	Spiral galaxy	Virgo	15h07m07.8s	°32′39″
5866	Lenticular galaxy	Draco	15h06m29.5s	°45′47″
5877	Triple star	Lupus	15h12m53.1s	°55′38″
5879	galaxy	Draco	15h09m46.8s	°00′01″
5882	Planetary nebula	Libra	15h16m49.9s	°38′58″
5885	Barred spiral galaxy	Libra	15h15m04.1s	°05′10.0″
5886	Elliptical galaxy	Boötes	15h12m45.4s	°12′02″
5888	Barred spiral galaxy	Boötes	15h13m07.4s	°15′52″
5890	Lenticular galaxy	Libra	15h17m51.1s	°35′19″
