#	Episode	Air Date	Rating	Share	18-49 (Rating/Share)	Viewers (m)	Weekly Rank (#)
1	"Take Two"	September 23, 2010	6.2	10	3.2/9	9.02	TBA
2	"Short Cuts"	September 30, 2010	5.5	10	2.8/8	7.93	TBA
3	"Playing God"	October 7, 2010	5.3	9	2.9/8	7.90	TBA
4	"A Better Place to Be"	October 14, 2010	5.5	10	3.0/9	8.07	TBA
5	"In or Out"	October 21, 2010	5.1	9	2.7/8	7.66	TBA
6	"All in the Family"	October 28, 2010	5.4	8	2.7/8	7.68	TBA
7	"Did You Hear What Happened to Charlotte King?"	November 4, 2010	7.0	12	3.9/11	10.18	TBA
8	"What Happens Next"	November 11, 2010	5.7	10	2.9/8	8.21	TBA
9	"Can't Find My Way Back Home"	November 18, 2010	5.5	10	2.9/9	8.01	TBA
10	"Just Lose It"	December 2, 2010	5.4	9	2.8/8	7.90	TBA
11	"If You Don't Know Me By Now"	January 6, 2011	TBA	TBA	2.7/8	8.17	TBA
12	"Heaven Can Wait"	February 3, 2011	4.8	8	2.5/7	7.05	TBA
13	"Blind Love"	February 10, 2011	5.0	9	2.6/7	7.26	TBA
14	"Home Again"	February 17, 2011	4.8	8	2.3/7	6.73	TBA
15	"Two Steps Back"	February 24, 2011	4.5	8	2.3/7	6.44	TBA
16	"Love and Lies"	March 17, 2011	4.1	7	1.9/6	5.97	TBA
17	"A Step Too Far"	March 24, 2011	5.4	9	2.6/7	7.93	TBA
18	"The Hardest Part"	March 31, 2011	5.0	8	2.7/7	7.35	TBA
19	"What We Have Here..."	April 28, 2011	4.5	7	2.2/6	6.68	TBA
20	"Something Old, Something New"	May 5, 2011	TBA	TBA	2.3/6	6.89	TBA
21	"God Bless the Child"	May 12, 2011	TBA	TBA	2.3/6	7.27	TBA
