Outcome	Date	Championship	Surface	Opponent	Score
Runner-up	11 October 2004	Open de Moselle , Metz, France	Hard (i)	Jérôme Haehnel	6–7 (9–11) , 4–6
Runner-up	9 May 2005	International German Open , Hamburg, Germany	Clay	Roger Federer	3–6, 5–7, 6–7 (4–7)
Winner	13 June 2005	Nottingham Open , Nottingham, United Kingdom	Grass	Max Mirnyi	6–2, 6–3
Winner	19 June 2006	Nottingham Open , Nottingham, United Kingdom (2)	Grass	Jonas Björkman	6–4, 6–3
Winner	10 July 2006	Allianz Suisse Open Gstaad , Gstaad, Switzerland	Clay	Feliciano López	7–6 (7–4) , 6–7 (3–7) , 6–3
Runner-up	7 August 2006	Canada Masters , Toronto, Canada	Hard	Roger Federer	6–2, 3–6, 2–6
Winner	23 October 2006	Grand Prix de Tennis de Lyon , Lyon, France	Carpet (i)	Marc Gicquel	6–3, 6–1
Runner-up	29 April 2007	Estoril Open , Estoril, Portugal	Clay	Novak Djokovic	6–7 (7–9) , 6–0, 1–6
Winner	30 September 2007	ATP Mumbai , Bombay, India	Hard	Olivier Rochus	6–3, 6–4
Runner-up	1 October 2007	AIG Japan Open Tennis Championships , Tokyo, Japan	Hard	David Ferrer	1–6, 2–6
Runner-up	13 July 2008	Mercedes Cup , Stuttgart, Germany	Clay	Juan Martín del Potro	4–6, 5–7
Runner-up	16 January 2010	Medibank International , Sydney, Australia	Hard	Marcos Baghdatis	4–6, 6–7 (2–7)
Winner	22 May 2010	Open de Nice Côte d'Azur , Nice, France	Clay	Fernando Verdasco	6–3, 5–7, 7–6 (7–5)
Runner-up	1 August 2010	Allianz Suisse Open Gstaad , Gstaad, Switzerland	Clay	Nicolás Almagro	5–7, 1–6
Runner-up	6 May 2012	Estoril Open , Estoril, Portugal (2)	Clay	Juan Martín del Potro	4–6, 2–6
Runner-up	12 August 2012	Toronto Masters , Toronto, Canada (2)	Hard	Novak Djokovic	3–6, 2–6
Winner	30 September 2012	PTT Thailand Open , Bangkok, Thailand	Hard (i)	Gilles Simon	6–2, 6–1
Winner	5 January 2013	Qatar Open , Doha, Qatar	Hard	Nikolay Davydenko	3–6, 7–6 (7–4) , 6–3
Winner	10 February 2013	Open Sud de France , Montpellier, France	Hard (i)	Benoît Paire	6–2, 6–3
Winner	20 October 2013	Kremlin Cup , Moscow, Russia	Hard (i)	Mikhail Kukushkin	4–6, 6–4, 6–4
