Driver	Constructor	Laps	Time/Retired	Grid
Damon Hill	Jordan - Mugen-Honda	44	1:43:47.407	3
Ralf Schumacher	Jordan - Mugen-Honda	44	+0.932	8
Jean Alesi	Sauber - Petronas	44	+7.240	10
Heinz-Harald Frentzen	Williams - Mecachrome	44	+32.243	9
Pedro Diniz	Arrows	44	+51.682	16
Jarno Trulli	Prost - Peugeot	42	+2 Laps	13
David Coulthard	McLaren - Mercedes	39	+5 Laps	2
Shinji Nakano	Minardi - Ford	39	+5 Laps	21
Giancarlo Fisichella	Benetton - Playlife	26	Collision	7
Michael Schumacher	Ferrari	25	Collision damage	4
Eddie Irvine	Ferrari	25	Spun off	5
Esteban Tuero	Minardi - Ford	17	Gearbox	22
Jacques Villeneuve	Williams - Mecachrome	16	Spun off	6
Toranosuke Takagi	Tyrrell - Ford	10	Spun off	19
Jos Verstappen	Stewart - Ford	8	Engine	17
Mika Häkkinen	McLaren - Mercedes	0	Collision	1
Alexander Wurz	Benetton - Playlife	0	Collision	11
Johnny Herbert	Sauber - Petronas	0	Collision	12
Rubens Barrichello	Stewart - Ford	0	Collision	15
Olivier Panis	Prost - Peugeot	0	Collision*	14
Mika Salo	Arrows	0	Collision*	18
Ricardo Rosset	Tyrrell - Ford	0	Collision*	20
