Tie no	Home team	Score	Away team	Date
1	Liverpool	2–0	Bury	16 February 1980
2	Blackburn Rovers	1–1	Aston Villa	16 February 1980
Replay	Aston Villa	1–0	Blackburn Rovers	20 February 1980
3	Bolton Wanderers	1–1	Arsenal	16 February 1980
Replay	Arsenal	3–0	Bolton Wanderers	19 February 1980
4	Wolverhampton Wanderers	0–3	Watford	16 February 1980
5	Everton	5–2	Wrexham	16 February 1980
6	Ipswich Town	2–1	Chester	16 February 1980
7	Tottenham Hotspur	3–1	Birmingham City	16 February 1980
8	West Ham United	2–0	Swansea City	16 February 1980
