Date	Opponent	Score	Loss	Attendance	Record
May 1	@ Mets	8 - 1	Ruthven (2-2)	13,906	12-9
May 2	@ Mets	4 - 3	Smith (1-2)	11,059	12-10
May 4	Padres	7 - 6	Monge (2-1)	6,533	13-10
May 5	Padres	6 - 5	Lefferts (0-1)	28,441	14-10
May 6	Padres	8 - 5	Ruthven (2-3)	31,700	14-11
May 7	Giants	10 - 7	M. Davis (0-4)	6,002	15-11
May 8	Giants	12 - 11	Minton (1-2)	4,645	16-11
May 9	Dodgers	7 - 0	Hooton (0-1)	7,908	17-11
May 10	Dodgers	5 - 1	Trout (3-2)	15,747	17-12
May 11	@ Astros	3 - 1	Ruthven (2-4)	16,829	17-13
May 12	@ Astros	5 - 4	DiPino (1-2)	20,737	18-13
May 13	@ Astros	1 - 0	Reuschel (0-1)	13,405	18-14
May 15	@ Reds	6 - 3	Pastore (2-3)	13,074	19-14
May 16	@ Reds	10 - 4	Russell (2-4)	12,899	20-14
May 17	@ Reds	5 - 3	Ruthven (2-5)	18,974	20-15
May 18	Astros	7 - 6	Smith (0-1)	16,812	21-15
May 19	Astros	5 - 4	Dawley (2-3)	34,122	22-15
May 20	Astros	10 - 3	M. Scott (2-2)	27,503	23-15
May 23	Braves	3 - 1	McMurtry (3-5)	15,860	24-15
May 24	Braves	10 - 7	Perez (3-1)	0	25-15
May 24	Braves	7 - 5	Falcone (2-5)	24,551	26-15
May 25	Reds	3 - 0	Noles (2-2)	11,266	26-16
May 26	Reds	7 - 6	Trout (5-3)	31,556	26-17
May 27	Reds	4 - 3	Eckersley (0-1)	38,060	26-18
May 29	@ Braves	7 - 4	Brusstar (1-1)	15,156	26-19
May 30	@ Braves	6 - 2	Barker (4-5)	16,660	27-19
May 31	@ Phillies	10 - 2	Rainey (3-4)	25,044	27-20
