Round	Pick	Player	Nationality	School/Club Team
1	15	Howard Carter	United States	LSU
2	37	David Russel	United States	St. John's
3	61	David Little	United States	Oklahoma
4	83	York Gross	United States	UC-Santa Barbara
5	107	James Braddock	United States	North Carolina
6	129	Glen Green	United States	Murray State
7	153	Maurice McDaniel	United States	Catawba College
8	175	Cliff Tribus	United States	Davidson
9	198	Bobby Van Noy	United States	Catawba College
10	218	Cleveland McCrae	United States	Catawba College
