Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Jan 13, 1987	Phoenix Open	–16 (67-69-65-67=268)	2 strokes	Hal Sutton
May 3, 1987	Panasonic Las Vegas Invitational	–17 (68-72-67-64=271)	1 stroke	Hal Sutton
Jun 28, 1987	Canon Sammy Davis Jr.-Greater Hartford Open	–15 (69-65-63-72=269)	6 strokes	Dan Forsman , Wayne Levi
Mar 20, 1988	Hertz Bay Hill Classic	–13 (66-66-73-66=271)	5 strokes	Tom Kite
Jul 9, 1989	Canon Greater Hartford Open	–17 (65-70-67-65=267)	1 stroke	Wayne Levi
Jan 7, 1990	MONY Tournament of Champions	–18 (72-67-67-69=275)	1 stroke	Ian Baker-Finch
Feb 3, 1991	AT&T Pebble Beach National Pro-Am	–14 (67-67-73-67=274)	4 strokes	Brian Claar , Corey Pavin
Nov 1, 1992	The Tour Championship	–8 (70-66-69-71=276)	3 strokes	Lee Janzen , Corey Pavin
Jun 6, 1993	Memorial Tournament	–14 (68-69-68-69=274)	1 stroke	Corey Pavin
Jul 25, 1993	New England Classic	–16 (67-69-64-68=268)	4 strokes	Bruce Fleisher
Aug 15, 1993	PGA Championship	–12 (69-66-69-68=272)	Playoff	Greg Norman
Jan 16, 2000	Sony Open in Hawaii	–19 (67-70-73-68=278)	7 strokes	Stuart Appleby
