Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points (Dropped points)
José Luis Abadín Category:Articles with hCards	Spain	2011 – 2012	0	12	0	0	0	0	1
Sergey Afanasyev Category:Articles with hCards	Russia	2010	0	18	1	0	4	1	157
Mikhail Aleshin Category:Articles with hCards	Russia	2009	0	16	1	1	5	0	59
Luciano Bacheta Category:Articles with hCards	United Kingdom	2011 – 2012	1 ( 2012 )	20	3	5	10	5	249.5 (253.5)
Benjamin Bailly Category:Articles with hCards	Belgium	2010	0	18	1	1	3	0	130
René Binder Category:Articles with hCards	Austria	2011	0	2	0	0	0	0	0
Mirko Bortolotti Category:Articles with hCards	Italy	2009 , 2011	1 ( 2011 )	32	7	8	19	8	339 (366)
Will Bratt Category:Articles with hCards	United Kingdom	2010 – 2011	0	26	1	0	8	1	236
Alex Brundle Category:Articles with hCards	United Kingdom	2009 , 2011	0	32	1	0	3	0	117
Samuele Buttarelli Category:Articles with hCards	Italy	2012	0	2	0	0	0	0	0
Mauro Calamia Category:Articles with hCards	Switzerland	2012	0	12	0	0	0	0	2
Jack Clarke Category:Articles with hCards	United Kingdom	2009 – 2011	0	50 (49)	0	1	3	1	197
Nicola de Marco Category:Articles with hCards	Italy	2009 – 2010	0	34	2	2	4	3	123
Armaan Ebrahim Category:Articles with hCards	India	2009 – 2011	0	46 (45)	0	0	1	0	101
Philipp Eng Category:Articles with hCards	Austria	2009 – 2010	0	34	3	4	7	1	181
Alex Fontana Category:Articles with hCards	Switzerland	2012	0	16	0	1	3	1	115
Natacha Gachnang Category:Articles with hCards	Switzerland	2009	0	16	0	0	0	0	2
Fabio Gamberini Category:Articles with hCards	Brazil	2011	0	2	0	0	0	0	0
Pietro Gandolfi Category:Articles with hCards	Italy	2009	0	16	0	0	0	0	0
Vittorio Ghirelli Category:Articles with hCards	Italy	2012	0	2	0	0	0	0	12
Tom Gladdis Category:Articles with hCards	United Kingdom	2009 – 2011	0	24	0	0	1	0	33
