Week	Date	Opponent	Result	Kickoff Time	Attendance
1	September 7, 2003	Denver Broncos	L 30–10	CBS 1:00pm	63,820
2	September 14, 2003	at Oakland Raiders	L 23–20	CBS 4:15pm	50,135
3	September 21, 2003	Pittsburgh Steelers	L 17–10	CBS 1:00pm	64,596
4	September 28, 2003	at Cleveland Browns	W 21–14	CBS 1:00pm	73,428
5	October 5, 2003	at Buffalo Bills	L 22–16	CBS 1:00pm	72,615
6	Bye	Bye	Bye	Bye	Bye
7	October 19, 2003	Baltimore Ravens	W 34–26	CBS 1:00pm	53,553
8	October 26, 2003	Seattle Seahawks	W 27–24	FOX 1:00pm	52,131
9	November 2, 2003	at Arizona Cardinals	L 17–14	CBS 4:05pm	23,531
10	November 9, 2003	Houston Texans	W 34–27	CBS 1:00pm	50,437
11	November 16, 2003	Kansas City Chiefs	W 24–19	CBS 1:00pm	64,923
12	November 23, 2003	at San Diego Chargers	W 34–27	CBS 4:05pm	52,069
13	November 30, 2003	at Pittsburgh Steelers	W 24–20	CBS 1:00pm	58,797
14	December 7, 2003	at Baltimore Ravens	L 31–13	CBS 1:00pm	69,468
15	December 14, 2003	San Francisco 49ers	W 41–38	FOX 1:00pm	64,666
16	December 21, 2003	at St. Louis Rams	L 27–10	CBS 1:00pm	66,061
17	December 28, 2003	Cleveland Browns	L 22–14	CBS 1:00pm	65,362
