Episode	Title	Original Danish air date	Danish ratings (DR1)	Original UK air date	UK ratings (BBC Four)
1	"Episode 1"	7January2007	1550000	22January2011	472000
2	"Episode 2"	14January2007	1707000	22January2011	421000
3	"Episode 3"	21January2007	1622000	29January2011	424000
4	"Episode 4"	28January2007	1213000	29January2011	388000
5	"Episode 5"	4February2007	1532000	5February2011	524000
6	"Episode 6"	11February2007	1600000	5February2011	443000
7	"Episode 7"	18February2007	1512000	12February2011	524000
8	"Episode 8"	25February2007	1712000	12February2011	466000
9	"Episode 9"	4March2007	1634000	19February2011	536000
10	"Episode 10"	11March2007	1678000	19February2011	480000
11	"Episode 11"	23September2007	1371000	26February2011	509000
12	"Episode 12"	30September2007	1480000	26February2011	474000
13	"Episode 13"	7October2007	1481000	5March2011	563000
14	"Episode 14"	14October2007	1385000	5March2011	511000
15	"Episode 15"	21October2007	1581000	12March2011	597000
16	"Episode 16"	28October2007	1624000	12March2011	535000
17	"Episode 17"	8November2007	1767000	19March2011	613000
18	"Episode 18"	15November2007	1767000	19March2011	551000
19	"Episode 19"	22November2007	1827000	26March2011	603000
