Round	Pick	Player	Nationality	School
1	12	Matt Dominguez (3B)	United States	Chatsworth High School
2	76	Giancarlo Stanton (CF)	United States	Notre Dame High School
3	106	Jameson Smith (C)	United States	Fresno CC
4	136	Bryan Petersen (RF)	United States	UC-Irvine
5	166	Steven Cishek (RHP)	United States	Carson-Newman College
6	196	Taiwan Easterling (CF)	United States	Oak Grove High School
7	226	Andrew Paulauskas (RHP)	United States	Tremper High School
8	256	Jay Voss (LHP)	United States	Kaskaskia Community College
9	286	Marcus Crockett (CF)	United States	Compton Community College
10	316	Brandon Barrow (LHP)	United States	Zachary High School
11	346	Brett Durand (RHP)	United States	Delta State
12	376	Garrett Parcell (RHP)	United States	San Diego State
13	406	Christopher Shafer (RHP)	United States	Cajun High School
14	436	Lucas Waters (3B)	United States	Eastern Kentucky
15	466	Ryan Anetsberger (3B)	United States	Illinois State
16	496	Adam Campbell (RHP)	United States	New Orleans
17	526	Michael Pasek (SS)	United States	Apple Valley High School
18	556	Christopher Ingoglia (LHP)	United States	Stetson
19	586	Charley Williams (RF)	United States	Itawamba Junior College
20	616	Marc Lewis (LHP)	United States	Creighton
21	646	Ryan Curry (2B)	United States	Bradley
22	676	Chaz Gilliam (RHP)	United States	Cyril High School
23	706	Daniel Prieto (LHP)	United States	Long Beach CC
24	736	Kevin Hammons (RHP)	United States	Tusculum College
25	766	Kyle Kaminska (RHP)	United States	Naperville Central High School
26	796	Bryan Hagerich (LF)	United States	Delaware
27	826	Ray White (SS)	United States	Compton CC
28	856	Virgil Hill (SS)	United States	Valencia High School
29	886	Benjamin Lasater (3B)	United States	Charleston
30	916	Andrew Battisto (RHP)	United States	Georgia Southern
31	946	Justin Harper (RHP)	United States	Yavapai College
32	975	Joshua Thompson (C)	United States	Mercer
33	1004	Derek Blacksher (RHP)	United States	McNeese State
34	1033	Stephen Flake (RHP)	United States	Southern Poly
35	1062	Joshua Roberts (RHP)	United States	Portland
36	1091	Matthew Mallory (RHP)	United States	University of Science and Arts OK
37	1119	Kellen St Luce (LHP)	United States Virgin Islands	All Saints Cathedral School
38	1147	Tyler Waldron (RHP)	United States	No School
39	1175	Richard Rossman (1B)	United States	Claremont High School
40	1203	Michael McCravey (LHP)	United States	Canyons College
41	1229	Skyler Crawford (RHP)	United States	Hartnell College
42	1255	James Lawler (C)	United States	Arkansas-Little Rock
43	1281	Stephen Kolhscheen (RHP)	United States	Norman North High School
44	1307	Ernie Banks (1B)	United States	Norfolk State
45	1333	Kevin Stanley (C)	United States	Los Lomas High School
46	1357	John Hellweg (RHP)	United States	Saint Dominic High School
47	1380	Mitch Rider (C)	United States	North Gwinnett High School
48	1401	Jacob Elmore (2B)	United States	Wallace State
49	1422	Kyle Rose (CF)	United States	Lee High School
50	1443	Rafael Carlot (3B)	United States	Southeastern CC
